League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Egyptian Premier,2024-12-25,12:00:00,Ismaily,Haras El Hodood,1.94,2.32,4.8,6.6,2.42,3.35,1.36,1.54,2.84,3.95,1.01,1000.0,1.5,1000.0,1.03,8.8,1.03,14.5,1.03,1000.0,1.03,1000.0,1.03,7.4,1.03,9.2,1.03,1000.0,1.03,1000.0,1.03,12.5,1.03,15.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,21.0,1000.0,1.01,1000.0,1.03,1000.0,33887783,5170870.0,5168506.0,58805.0,1.237537223,1.237537268,1.237537307,1.237537232,2.02,2.76,1.57,1.97,2.3,9.4,1.12,1.76,2.3,4.1,1.52,1.76,1.18,1.27,1.76,2.08,1.42,1.62,1.237537224,1.237537226,1.237537227,1.237537271
Egyptian Premier,2024-12-25,12:00:00,Al Ittihad (EGY),Future FC,3.45,4.0,2.56,2.92,2.64,3.05,1.36,1.46,3.15,3.8,2.16,2.7,1.53,1.78,5.2,7.0,5.9,7.8,11.0,18.0,1.03,55.0,7.0,9.6,5.7,7.6,10.5,17.0,1.03,55.0,16.5,28.0,12.5,21.0,1.03,38.0,1.03,120.0,1.03,100.0,1.03,85.0,1.03,140.0,1.03,1000.0,80.0,140.0,48.0,70.0,1.03,1000.0,33884796,7023879.0,41860831.0,58805.0,1.237476963,1.237477008,1.237477047,1.237476972,1.96,2.64,1.61,2.04,4.4,110.0,1.01,1.25,2.16,2.48,1.68,1.85,1.52,1.65,1.33,1.41,1.48,1.61,1.237476964,1.237476966,1.237476967,1.237477011
Egyptian Premier,2024-12-25,15:00:00,Pyramids,Pharco FC,1.44,1.56,8.4,12.0,4.1,4.9,1.87,2.08,1.93,2.14,2.0,2.44,1.59,1.85,1.03,17.5,1.03,32.0,1.03,110.0,1.03,1000.0,1.03,7.6,1.03,10.5,1.03,40.0,1.03,210.0,1.03,8.0,1.03,11.0,1.03,36.0,1.03,180.0,1.03,12.5,1.03,22.0,1.03,60.0,1.03,1000.0,7.0,8.4,200.0,1000.0,1.03,1000.0,33884897,19918253.0,10539864.0,58805.0,1.237484126,1.237484171,1.237484210,1.237484135,2.76,4.0,1.33,1.57,3.55,110.0,1.01,1.39,3.55,4.3,1.31,1.39,1.09,1.13,2.78,3.3,1.25,1.33,1.237484127,1.237484129,1.237484130,1.237484174
