League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-23,05:00:00,Macarthur FC,Central Coast Mariners,2.02,2.04,3.8,3.9,4.0,4.2,2.34,2.46,1.69,1.75,1.64,1.71,2.4,2.58,17.5,19.5,16.0,19.0,27.0,32.0,60.0,75.0,11.5,13.0,8.6,9.2,14.0,15.5,34.0,40.0,13.0,14.5,9.8,10.5,15.0,16.5,38.0,44.0,22.0,24.0,17.0,18.5,25.0,29.0,60.0,70.0,9.6,11.0,26.0,32.0,16.0,630.0,33857541,36700739.0,1205126.0,58805.0,1.237093032,1.237093036,1.237093111,1.237093033,3.35,4.5,1.28,1.43,13.5,21.0,1.05,1.07,4.2,6.0,1.21,1.31,1.35,1.36,1.96,1.99,1.31,1.33,1.237093116,1.237093118,1.237093034,1.237093035
Greek Super League,2024-12-23,10:00:00,Asteras Tripolis,Aris,3.6,3.95,2.26,2.42,3.1,3.35,1.69,1.84,2.2,2.48,1.75,2.04,1.79,2.1,9.4,11.0,7.6,8.8,12.0,16.5,1.03,38.0,10.5,14.5,6.4,7.2,10.0,11.5,1.03,34.0,1.03,32.0,13.0,18.5,15.0,25.0,1.03,60.0,1.03,95.0,1.03,65.0,1.03,85.0,1.03,180.0,44.0,80.0,18.5,32.0,1.03,1000.0,33854009,1300930.0,244704.0,58805.0,1.237001096,1.237001282,1.237001396,1.237001164,1.01,3.4,1.5,1.7,3.95,1000.0,1.01,1.33,3.05,3.35,1.43,1.49,1.7,1.8,1.33,1.39,1.43,1.48,1.237001097,1.237001102,1.237001113,1.237001323
Serbian Super League,2024-12-23,10:30:00,OFK Beograd,FK Backa Topola,2.3,3.35,2.46,3.65,2.84,950.0,1.73,2.24,1.8,2.38,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33879408,9790651.0,14609047.0,58805.0,1.237401471,1.237401516,1.237401555,1.237401480,1.01,1000.0,1.01,1000.0,2.58,1000.0,1.01,1.64,2.58,990.0,1.01,1.64,1.37,1.69,1.42,1.77,1.18,1.54,1.237401472,1.237401474,1.237401475,1.237401519
Romanian Liga I,2024-12-23,12:00:00,UTA Arad,Botosani,2.16,2.74,3.35,4.3,2.78,3.5,1.62,1.79,2.28,2.68,1.82,1000.0,1.74,1000.0,3.2,12.0,3.35,14.0,3.85,30.0,1.76,1000.0,3.1,10.5,2.96,9.0,3.6,19.5,2.16,65.0,3.45,16.5,3.35,14.5,3.75,26.0,1.76,1000.0,3.95,38.0,3.95,36.0,2.34,65.0,1.5,1000.0,3.85,30.0,2.42,1000.0,1.42,1000.0,33869740,2311174.0,3465177.0,58805.0,1.237232332,1.237232377,1.237232416,1.237232341,2.3,3.25,1.44,1.76,8.6,13.0,1.08,1.13,2.76,13.0,1.39,1.57,1.3,1.41,1.57,1.87,1.41,1.49,1.237232333,1.237232335,1.237232336,1.237232380
Greek Super League,2024-12-23,13:00:00,OFI,NFC Volos,2.2,2.32,3.55,3.9,3.3,3.55,1.77,1.86,2.16,2.3,1.74,2.04,1.97,2.12,8.4,14.0,11.0,15.5,18.0,32.0,1.03,90.0,8.0,9.0,6.8,7.8,1.03,19.5,1.03,60.0,11.5,16.5,10.0,14.0,14.5,25.0,1.03,80.0,21.0,36.0,19.0,32.0,1.03,55.0,1.03,160.0,15.0,26.0,46.0,65.0,1.03,1000.0,33854010,728087.0,16417407.0,58805.0,1.237001006,1.237001051,1.237001090,1.237001015,2.78,3.45,1.49,1.56,9.2,13.5,1.08,1.11,3.2,3.55,1.39,1.45,1.34,1.36,1.76,1.84,1.39,1.44,1.237001007,1.237001009,1.237001010,1.237001054
Turkish 1 Lig,2024-12-23,14:00:00,Amed Sportif Faaliyetler,Umraniyespor,1.72,2.06,3.7,5.7,3.45,4.8,1.83,2.2,1.83,2.22,1.72,2.24,1.81,2.38,1.03,16.0,1.03,19.0,1.03,42.0,1.03,1000.0,1.03,11.0,1.03,10.5,1.03,23.0,1.03,1000.0,1.03,14.0,1.03,13.0,1.03,25.0,1.03,1000.0,1.03,27.0,1.03,26.0,1.03,1000.0,1.03,1000.0,10.0,17.5,1.01,1000.0,1.03,1000.0,33872922,12171081.0,6250160.0,58805.0,1.237299254,1.237299299,1.237299338,1.237299263,1.01,3.7,1.37,1.63,3.1,1000.0,1.01,1.47,3.1,4.6,1.28,1.47,1.21,1.32,1.94,2.34,1.27,1.41,1.237299255,1.237299257,1.237299258,1.237299302
Turkish 1 Lig,2024-12-23,14:00:00,Genclerbirligi,Adanaspor,1.46,1.68,6.2,10.5,3.6,5.7,1.75,2.14,1.87,2.32,1.9,1000.0,1.65,1000.0,1.03,18.0,1.03,29.0,1.03,1000.0,1.03,1000.0,1.03,9.2,1.03,12.0,1.03,36.0,1.03,1000.0,1.03,10.5,1.03,12.5,1.03,34.0,1.03,1000.0,1.03,16.0,1.03,22.0,1.03,1000.0,1.03,1000.0,6.6,11.0,1.01,1000.0,1.03,1000.0,33872923,50350.0,114383.0,58805.0,1.237299164,1.237299209,1.237299248,1.237299173,1.01,3.7,1.33,1.57,3.25,1000.0,1.01,1.45,3.25,4.5,1.29,1.45,1.11,1.17,2.46,3.35,1.24,1.38,1.237299165,1.237299167,1.237299168,1.237299212
Turkish Super League,2024-12-23,14:00:00,Basaksehir,Kasimpasa,2.16,2.26,3.55,3.7,3.65,3.75,2.02,2.12,1.89,1.98,1.72,1.88,2.14,2.4,11.0,18.5,11.5,18.0,20.0,32.0,1.03,80.0,8.8,12.0,7.0,9.4,12.0,18.0,1.03,48.0,11.5,17.5,9.0,12.0,14.5,22.0,1.03,60.0,18.0,34.0,18.0,28.0,1.03,44.0,1.03,120.0,12.5,19.0,25.0,44.0,1.03,1000.0,33870725,10071088.0,2080735.0,58805.0,1.237250489,1.237250499,1.237250488,1.237250498,2.98,3.75,1.37,1.51,11.0,17.5,1.06,1.09,3.75,4.4,1.29,1.37,1.37,1.4,1.79,1.87,1.36,1.38,1.237250480,1.237250492,1.237250493,1.237250503
Turkish Super League,2024-12-23,14:00:00,Hatayspor,Adana Demirspor,1.63,1.72,5.4,6.6,4.2,5.0,2.12,2.32,1.75,1.9,1.72,1.98,2.02,2.38,14.0,24.0,1.03,26.0,1.03,60.0,1.03,170.0,8.0,11.0,8.0,10.5,1.03,25.0,1.03,85.0,8.6,11.5,8.2,11.0,14.0,25.0,1.03,80.0,13.0,19.5,1.03,21.0,1.03,40.0,1.03,120.0,7.0,9.4,55.0,90.0,1.03,1000.0,33872799,965417.0,2610481.0,58805.0,1.237301325,1.237301335,1.237301324,1.237301334,3.35,4.5,1.28,1.43,12.0,21.0,1.05,1.08,4.1,5.0,1.25,1.33,1.18,1.23,2.36,2.6,1.27,1.31,1.237301316,1.237301328,1.237301329,1.237301339
Italian Serie A,2024-12-23,14:30:00,Fiorentina,Udinese,1.63,1.64,6.6,6.8,4.2,4.3,1.99,2.04,1.96,2.02,1.99,2.06,1.94,2.02,13.5,14.0,19.0,21.0,46.0,55.0,46.0,190.0,7.8,8.2,8.6,9.0,22.0,24.0,80.0,95.0,8.4,9.0,9.4,9.8,21.0,23.0,75.0,95.0,14.0,15.0,16.0,17.5,34.0,40.0,42.0,140.0,8.8,9.6,80.0,120.0,29.0,1000.0,33853747,676467.0,215821.0,58805.0,1.236992922,1.236992906,1.236992921,1.236992931,3.2,4.1,1.32,1.45,12.5,18.0,1.06,1.09,4.0,4.2,1.31,1.33,1.17,1.18,2.56,2.6,1.3,1.32,1.236992924,1.236992926,1.236992927,1.236992909
