League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Ukrainian Premier League,2024-12-16,08:00:00,Dynamo Kiev,Veres Rivne,1.28,1.36,11.0,17.0,5.3,6.8,1.92,2.42,1.7,2.08,2.1,2.6,1.62,1.91,4.1,23.0,3.1,44.0,1.89,150.0,1.68,1000.0,6.4,9.4,4.0,16.5,3.15,60.0,1.67,1000.0,5.9,8.6,3.7,13.5,4.2,44.0,1.66,1000.0,7.4,12.0,4.0,19.0,4.6,1000.0,1.67,1000.0,4.6,6.0,1.67,1000.0,1.68,1000.0,33858136,238549.0,10053070.0,58805.0,1.237065242,1.237065291,1.237065333,1.237065254,2.92,4.3,1.3,1.52,4.0,1000.0,1.01,1.33,4.0,990.0,1.24,1.33,1.06,1.09,3.75,4.6,1.17,1.24,1.237065244,1.237065246,1.237065247,1.237065295
Azerbaijan Premier League,2024-12-16,12:00:00,Qarabag FK,FK Sumqayit,1.04,1.39,10.0,23.0,5.6,950.0,1.85,990.0,1.42,2.18,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33860396,10583858.0,7547173.0,58805.0,1.237103512,1.237103557,1.237103596,1.237103521,1.01,1000.0,1.01,1000.0,2.38,1000.0,1.01,990.0,1.02,110.0,1.01,55.0,1.04,1.11,3.6,36.0,1.07,1.22,1.237103513,1.237103515,1.237103516,1.237103560
Romanian Liga II,2024-12-16,12:00:00,FC Metaloglobus Bucuresti,CSM Slatina,1.28,900.0,1.1,900.0,1.1,950.0,1.07,110.0,1.01,21.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33856173,10805935.0,20135213.0,58805.0,1.237037341,1.237037386,1.237037425,1.237037350,1.01,1000.0,1.01,1000.0,1.07,1000.0,1.01,21.0,1.07,110.0,1.01,21.0,1.01,26.0,1.01,4.8,1.01,240.0,1.237037342,1.237037344,1.237037345,1.237037389
Serbian Super League,2024-12-16,13:00:00,FK Radnicki 1923,FK Spartak,1.44,1.78,5.1,36.0,3.6,950.0,1.85,2.5,1.66,2.18,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33858581,10465511.0,4104730.0,58805.0,1.237076674,1.237076719,1.237076758,1.237076683,2.76,4.5,1.01,1000.0,2.76,1000.0,1.01,1.57,2.76,110.0,1.01,1.57,1.02,1.25,2.28,3.3,1.12,1.39,1.237076675,1.237076677,1.237076678,1.237076722
Turkish Super League,2024-12-16,13:00:00,Adana Demirspor,Besiktas,9.0,12.0,1.34,1.38,6.0,6.6,2.7,2.98,1.51,1.59,1.68,1.95,1.87,2.22,22.0,28.0,10.0,12.0,8.6,10.0,10.5,12.0,32.0,50.0,12.0,14.0,9.4,10.5,12.0,13.5,1.03,120.0,30.0,36.0,21.0,25.0,23.0,38.0,1.03,440.0,1.03,160.0,1.03,130.0,1.03,120.0,75.0,150.0,4.1,4.6,1.03,1000.0,33854284,2610481.0,232068.0,58805.0,1.237004781,1.237004791,1.237004780,1.237004790,3.45,5.2,1.23,1.41,17.5,36.0,1.03,1.05,1.05,8.2,1.14,1.22,3.6,4.0,1.1,1.13,1.18,1.2,1.237004772,1.237004784,1.237004785,1.237004795
Romanian Liga I,2024-12-16,15:00:00,Rapid Bucharest,Gloria Buzau,1.45,1.52,7.6,10.5,4.4,5.0,1.95,2.1,1.9,2.06,1.93,2.3,1.77,1.89,11.5,19.0,1.03,29.0,1.03,85.0,1.03,330.0,6.8,7.8,8.8,10.5,1.03,36.0,1.03,160.0,1.03,8.4,1.03,10.5,1.03,34.0,1.03,140.0,1.03,15.0,1.03,22.0,1.03,55.0,1.03,210.0,7.4,8.6,130.0,230.0,1.03,1000.0,33858066,6394.0,2487031.0,58805.0,1.237062646,1.237062691,1.237062730,1.237062655,2.8,4.1,1.32,1.56,10.0,18.0,1.06,1.09,3.75,4.4,1.3,1.36,1.11,1.16,2.88,3.25,1.25,1.3,1.237062647,1.237062649,1.237062650,1.237062694
Turkish Super League,2024-12-16,15:00:00,Galatasaray,Trabzonspor,1.38,1.41,7.6,8.2,6.4,6.6,3.6,4.0,1.33,1.38,1.49,1.68,2.48,2.68,38.0,50.0,15.0,65.0,10.0,90.0,10.0,270.0,15.5,22.0,14.5,16.5,26.0,30.0,11.5,85.0,11.5,16.0,10.0,11.0,19.0,20.0,16.0,75.0,12.5,17.5,12.0,13.5,20.0,22.0,17.0,80.0,3.45,3.75,36.0,55.0,11.0,1000.0,33854538,2436.0,113125.0,58805.0,1.237007380,1.237007390,1.237007379,1.237007389,1.01,1000.0,1.01,1000.0,26.0,110.0,1.01,1.03,3.6,100.0,1.09,1.38,1.14,1.16,3.45,3.65,1.17,1.19,1.237007371,1.237007383,1.237007384,1.237007394
Portuguese Segunda Liga,2024-12-16,15:00:00,Academico de Viseu,Oliveirense,1.59,1.73,5.3,8.0,3.8,5.0,1.79,2.0,2.0,2.28,1.85,2.3,1.69,2.06,10.0,17.0,1.03,25.0,1.03,70.0,1.03,1000.0,5.8,9.2,6.8,11.0,1.03,30.0,1.03,1000.0,6.8,11.0,7.6,12.5,1.03,32.0,1.03,1000.0,11.0,18.5,13.5,23.0,1.03,55.0,1.03,1000.0,7.8,13.0,100.0,1000.0,1.03,1000.0,33856703,7611327.0,616886.0,58805.0,1.237044642,1.237044690,1.237044730,1.237044652,2.68,3.85,1.35,1.6,9.2,15.5,1.07,1.12,3.1,4.2,1.32,1.43,1.14,1.21,2.34,2.7,1.27,1.36,1.237044643,1.237044645,1.237044647,1.237044693
Serbian Super League,2024-12-16,15:00:00,Partizan Belgrade,FK IMT Novi Beograd,1.34,1.62,6.0,110.0,4.1,950.0,2.02,2.82,1.55,1.97,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33858582,46980.0,17203916.0,58805.0,1.237076765,1.237076810,1.237076849,1.237076774,1.01,1000.0,1.01,1000.0,3.15,1000.0,1.01,1.47,3.15,110.0,1.01,1.47,1.14,1.2,2.6,3.95,1.09,1.33,1.237076766,1.237076768,1.237076769,1.237076813
Greek Super League,2024-12-16,15:30:00,Kallithea,Olympiakos,9.6,14.5,1.37,1.44,5.0,6.2,2.04,2.26,1.79,1.97,2.14,2.56,1.57,1.87,13.0,22.0,6.4,8.6,6.2,8.2,7.6,11.5,1.03,38.0,8.8,13.0,8.0,12.0,12.0,21.0,1.03,130.0,28.0,48.0,23.0,40.0,1.03,60.0,1.03,1000.0,1.03,240.0,1.03,190.0,1.03,260.0,220.0,1000.0,5.4,7.0,1.03,1000.0,33834139,264411.0,55243.0,58805.0,1.236696708,1.236696753,1.236696792,1.236696717,2.96,4.4,1.3,1.51,12.0,21.0,1.05,1.08,3.85,5.0,1.25,1.35,3.25,3.75,1.08,1.12,1.19,1.25,1.236696709,1.236696711,1.236696712,1.236696756
