League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
UEFA Europa Conference League,2024-12-12,10:00:00,Vikingur Reykjavik,Djurgardens,3.3,3.55,2.22,2.36,3.55,3.8,2.04,2.2,1.83,1.96,1.56,1.78,2.04,2.46,12.0,21.0,8.2,11.5,11.0,19.0,21.0,36.0,1.37,17.5,6.0,8.2,8.0,11.0,1.37,29.0,18.0,32.0,1.37,17.0,1.37,21.0,1.37,42.0,1.37,75.0,1.37,46.0,1.37,55.0,1.37,110.0,1.37,42.0,1.37,21.0,1.37,1000.0,33847643,5241831.0,232104.0,58805.0,1.236901448,1.236901493,1.236901532,1.236901457,0.0,0.0,0.0,0.0,11.0,21.0,1.05,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236901452,0
UEFA Europa Conference League,2024-12-12,12:30:00,FC Astana,Chelsea,7.8,9.0,1.42,1.44,5.1,5.8,2.56,3.05,1.49,1.65,1.79,1.95,2.06,2.28,18.5,32.0,9.8,16.0,8.0,12.5,9.8,15.0,1.37,40.0,9.6,14.5,8.6,14.0,10.5,17.5,1.37,90.0,20.0,34.0,16.5,25.0,1.37,38.0,1.37,310.0,1.37,120.0,1.37,95.0,1.37,110.0,1.37,110.0,3.75,5.0,7.2,1000.0,33847628,7391219.0,55190.0,58805.0,1.236902233,1.236902217,1.236902232,1.236902242,0.0,0.0,0.0,0.0,5.0,55.0,1.02,1.25,5.0,55.0,1.02,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236902238,1.236902220
UEFA Europa League,2024-12-12,14:45:00,PAOK,Ferencvaros,1.98,2.04,4.2,4.5,3.6,3.8,1.94,2.02,1.98,2.06,1.8,1.92,2.08,2.26,10.0,16.0,11.0,18.5,6.0,40.0,6.2,120.0,8.0,9.2,7.2,8.2,12.0,20.0,6.0,70.0,8.8,12.5,9.0,10.5,14.0,24.0,6.0,75.0,16.5,27.0,15.5,26.0,6.0,46.0,6.2,140.0,10.5,17.5,6.0,75.0,6.6,1000.0,33847604,232095.0,198748.0,58805.0,1.236898322,1.236898306,1.236898321,1.236898331,0.0,0.0,0.0,0.0,10.0,18.0,1.06,1.1,3.75,4.2,1.32,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236898327,1.236898309
UEFA Europa League,2024-12-12,14:45:00,Plzen,Man Utd,6.0,6.4,1.61,1.64,4.4,4.7,2.28,2.5,1.67,1.77,1.76,1.85,2.18,2.3,14.5,24.0,8.6,10.5,8.0,11.0,13.0,19.5,18.0,30.0,8.8,10.5,8.2,10.0,11.5,19.0,6.6,60.0,17.0,28.0,14.5,25.0,21.0,34.0,7.2,180.0,6.8,90.0,6.8,85.0,7.0,120.0,6.8,85.0,6.8,7.4,7.4,1000.0,33847595,52613879.0,48351.0,58805.0,1.236898803,1.236898787,1.236898802,1.236898812,0.0,0.0,0.0,0.0,15.0,26.0,1.04,1.07,3.8,26.0,1.04,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236898808,1.236898790
UEFA Europa League,2024-12-12,14:45:00,Ludogorets,Az Alkmaar,3.2,3.3,2.5,2.54,3.4,3.5,1.9,1.92,2.08,2.12,1.79,1.9,2.12,2.26,10.0,16.0,9.2,10.5,11.5,18.5,5.9,40.0,9.4,13.0,7.2,8.4,10.0,12.0,19.0,32.0,15.5,27.0,10.0,14.0,13.5,22.0,6.0,50.0,6.0,65.0,6.0,44.0,6.2,60.0,6.2,130.0,5.9,40.0,15.0,25.0,6.6,1000.0,33847592,5112599.0,9220660.0,58805.0,1.236898923,1.236898907,1.236898922,1.236898932,0.0,0.0,0.0,0.0,10.0,18.0,1.06,1.1,3.6,4.0,1.33,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236898928,1.236898910
UEFA Europa League,2024-12-12,14:45:00,Hoffenheim,FCSB,1.48,1.5,7.0,7.8,4.9,5.3,2.36,2.58,1.64,1.74,1.83,1.94,2.06,2.22,15.5,27.0,20.0,34.0,6.4,75.0,6.8,220.0,8.8,10.5,8.6,12.0,19.5,32.0,6.6,110.0,7.2,10.0,8.8,10.5,16.5,27.0,6.6,95.0,10.0,16.5,11.0,18.0,6.2,38.0,6.8,130.0,5.6,6.4,6.6,110.0,7.2,1000.0,33847470,208026.0,12819357.0,58805.0,1.236896713,1.236896697,1.236896712,1.236896722,0.0,0.0,0.0,0.0,13.5,26.0,1.04,1.08,3.9,26.0,1.04,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236896718,1.236896700
UEFA Europa League,2024-12-12,14:45:00,Olympiakos,FC Twente,1.81,1.87,4.5,5.1,3.9,4.3,2.08,2.34,1.75,1.93,1.71,1.87,2.14,2.32,12.0,21.0,14.0,23.0,4.8,46.0,5.0,130.0,7.4,11.0,7.6,10.0,14.0,23.0,4.8,70.0,8.6,14.0,8.2,12.0,13.5,23.0,4.9,75.0,14.5,24.0,13.0,22.0,4.7,40.0,5.0,120.0,7.8,11.5,4.8,70.0,8.0,1000.0,33847597,55243.0,7928242.0,58805.0,1.236898563,1.236898547,1.236898562,1.236898572,0.0,0.0,0.0,0.0,12.0,18.0,1.06,1.08,4.1,5.5,1.23,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236898568,1.236898550
UEFA Europa League,2024-12-12,14:45:00,Union St Gilloise,Nice,2.18,2.2,3.7,3.85,3.5,3.7,1.9,1.91,2.08,2.12,1.84,1.95,2.06,2.2,9.6,15.5,10.0,16.5,18.5,32.0,5.5,85.0,7.2,9.6,7.2,9.6,11.0,19.0,5.4,55.0,10.0,16.0,8.2,13.0,14.0,23.0,5.4,70.0,20.0,34.0,17.5,30.0,5.5,50.0,5.1,140.0,13.0,21.0,5.3,55.0,3.3,1000.0,33847596,892024.0,189829.0,58805.0,1.236898683,1.236898667,1.236898682,1.236898692,0.0,0.0,0.0,0.0,10.0,13.5,1.08,1.1,3.5,4.5,1.29,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236898688,1.236898670
UEFA Europa League,2024-12-12,14:45:00,Malmo FF,Galatasaray,3.5,3.55,2.16,2.2,3.85,3.95,2.72,2.94,1.52,1.58,1.5,1.57,2.78,3.0,21.0,29.0,13.5,18.5,14.5,19.5,23.0,32.0,18.5,24.0,8.2,10.0,9.6,12.5,15.5,19.5,19.5,30.0,12.5,15.5,11.5,14.5,21.0,27.0,32.0,75.0,21.0,40.0,22.0,42.0,26.0,65.0,16.5,21.0,8.4,10.0,8.4,350.0,33847591,174383.0,2436.0,58805.0,1.236899044,1.236899028,1.236899043,1.236899053,0.0,0.0,0.0,0.0,15.5,36.0,1.03,1.05,5.6,7.4,1.16,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236899049,1.236899031
UEFA Europa Conference League,2024-12-12,14:45:00,HJK Helsinki,Molde,4.8,5.5,1.72,1.8,4.0,4.4,2.26,2.46,1.68,1.8,1.61,1.99,2.18,2.36,13.5,23.0,7.8,13.0,8.6,14.0,13.5,23.0,15.0,25.0,8.4,10.0,7.6,10.5,12.5,21.0,1.37,50.0,14.0,24.0,14.0,23.0,1.37,36.0,1.37,130.0,1.37,70.0,1.37,70.0,1.37,110.0,1.37,65.0,6.8,9.2,7.2,1000.0,33847642,6390.0,31321.0,58805.0,1.236901538,1.236901583,1.236901622,1.236901547,0.0,0.0,0.0,0.0,4.5,1000.0,1.01,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.236901542,0
