League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Azerbaijan Premier League,2024-12-19,07:00:00,Shamakhi FK,Qarabag FK,25.0,350.0,1.14,1.18,6.6,14.5,1.79,300.0,1.01,2.26,2.64,1000.0,1.35,1.61,1.91,980.0,3.1,980.0,2.9,7.6,5.5,8.8,1.58,980.0,1.52,980.0,1.47,980.0,1.61,21.0,1.6,1000.0,1.6,980.0,1.58,980.0,1.58,95.0,1.61,1000.0,1.61,1000.0,1.61,1000.0,1.61,1000.0,1.61,1000.0,3.05,4.5,1.61,1000.0,33875129,52957291.0,10583858.0,58805.0,1.237327831,1.237327876,1.237327915,1.237327840,3.1,4.6,1.28,1.48,1.1,1000.0,1.01,1.43,1.79,1000.0,1.01,2.26,5.9,9.2,1.02,1.04,1.1,1.14,1.237327832,1.237327834,1.237327835,1.237327879
Bulgarian A League,2024-12-19,12:00:00,Botev Plovdiv,Ludogorets,4.0,4.7,2.06,2.24,3.3,3.6,1.71,1.86,2.16,2.42,1.9,2.04,1.96,2.12,9.0,980.0,7.0,8.8,9.4,13.0,17.5,30.0,10.0,980.0,6.2,8.2,8.8,12.0,17.5,30.0,23.0,40.0,14.0,20.0,16.0,980.0,5.4,60.0,5.3,120.0,5.5,70.0,5.5,85.0,5.3,170.0,5.5,90.0,14.0,24.0,5.4,1000.0,33856104,1255220.0,5112599.0,58805.0,1.237036904,1.237036914,1.237036903,1.237036913,1.2,3.55,1.44,1.67,3.05,1000.0,1.01,1.49,3.05,3.7,1.37,1.49,1.81,1.95,1.27,1.34,1.39,1.44,1.237036895,1.237036907,1.237036908,1.237036918
Egyptian Premier,2024-12-19,12:00:00,El Geish,Petrojet,2.16,2.44,4.0,4.6,2.94,3.25,1.51,1.62,2.6,2.98,2.1,2.5,1.66,1.9,6.6,8.8,8.2,12.0,21.0,34.0,5.2,120.0,6.0,8.0,6.0,7.8,13.0,22.0,5.2,85.0,9.4,15.0,9.2,15.0,18.0,32.0,5.2,120.0,23.0,38.0,24.0,40.0,5.2,85.0,5.4,260.0,4.8,38.0,5.2,120.0,5.5,1000.0,33876239,7024303.0,5168594.0,58805.0,1.237346694,1.237346739,1.237346778,1.237346703,2.12,2.92,1.52,1.89,3.0,1000.0,1.01,1.48,2.52,2.82,1.55,1.66,1.27,1.34,1.7,1.86,1.45,1.52,1.237346695,1.237346697,1.237346698,1.237346742
Portuguese Primeira Liga,2024-12-19,14:00:00,CD Nacional Funchal,Benfica,10.5,16.0,1.3,1.34,5.5,7.0,2.46,2.64,1.61,1.68,2.08,2.22,1.81,1.92,4.6,980.0,7.2,11.5,6.2,9.8,3.8,12.5,4.9,980.0,10.5,980.0,8.0,13.0,10.5,17.0,2.5,140.0,5.0,980.0,4.8,980.0,4.9,46.0,5.4,1000.0,2.52,240.0,2.52,190.0,2.52,210.0,5.4,1000.0,4.3,4.8,2.56,1000.0,33874389,22012893.0,48783.0,58805.0,1.237323202,1.237323247,1.237323286,1.237323211,3.55,4.7,1.27,1.39,17.5,36.0,1.04,1.05,4.4,6.4,1.19,1.29,3.9,4.5,1.08,1.1,1.17,1.2,1.237323203,1.237323205,1.237323206,1.237323250
Egyptian Premier,2024-12-19,15:00:00,Zamalek,Ceramica Cleopatra,2.1,2.16,3.85,4.0,3.45,3.8,1.9,2.06,1.96,2.1,1.81,1.93,2.06,2.24,10.0,15.0,12.0,16.5,5.3,34.0,5.9,85.0,8.8,980.0,7.0,8.2,4.8,18.5,5.7,55.0,4.5,15.5,4.1,980.0,13.5,22.0,5.8,65.0,5.2,30.0,5.1,27.0,5.6,48.0,6.0,120.0,4.8,18.5,5.8,55.0,6.4,1000.0,33867544,5174134.0,37456793.0,58805.0,1.237201046,1.237201091,1.237201130,1.237201055,2.64,3.8,1.37,1.61,3.65,1000.0,1.01,1.38,3.65,4.1,1.32,1.38,1.33,1.36,1.86,1.91,1.35,1.4,1.237201047,1.237201049,1.237201050,1.237201094
Spanish Segunda Division,2024-12-19,15:00:00,Elche,Racing Santander,1.92,1.99,4.1,4.9,3.6,3.9,1.95,2.1,1.91,2.06,1.77,1.93,2.08,2.3,12.0,17.0,13.5,17.0,5.5,40.0,5.8,110.0,7.6,9.4,7.2,9.4,14.5,22.0,5.6,65.0,9.8,12.5,9.2,11.5,15.5,24.0,5.7,75.0,17.5,27.0,16.0,25.0,5.4,44.0,5.8,130.0,12.0,14.5,5.7,70.0,6.0,1000.0,33870676,309111.0,24072.0,58805.0,1.237250243,1.237250253,1.237250242,1.237250252,2.94,3.45,1.41,1.52,11.0,18.0,1.06,1.1,3.6,4.2,1.31,1.39,1.26,1.31,2.0,2.1,1.35,1.39,1.237250234,1.237250246,1.237250247,1.237250257
Spanish Segunda Division,2024-12-19,15:00:00,Cadiz,Burgos,2.02,2.08,4.5,4.9,3.3,3.55,1.66,1.75,2.32,2.52,2.02,2.18,1.84,1.99,9.0,12.5,12.0,14.0,6.4,42.0,7.2,140.0,5.7,7.6,6.6,7.6,16.0,22.0,6.8,85.0,9.8,11.5,9.4,11.0,17.0,28.0,7.0,100.0,20.0,28.0,18.0,30.0,6.6,60.0,7.2,200.0,16.5,23.0,7.0,120.0,7.6,1000.0,33870384,516259.0,968180.0,58805.0,1.237244508,1.237244518,1.237244507,1.237244517,2.7,2.98,1.51,1.59,7.6,12.5,1.09,1.13,2.98,3.3,1.44,1.51,1.25,1.29,1.92,1.99,1.39,1.44,1.237244499,1.237244511,1.237244512,1.237244522
Bolivian Liga de Futbol Profesional,2024-12-19,16:00:00,Royal Pari,CD Gualberto Villarroel,2.64,3.2,2.28,2.56,3.55,5.2,2.28,2.74,1.58,1.78,1.48,1.72,2.24,2.86,1.03,26.0,1.03,17.5,1.03,22.0,1.03,40.0,1.03,19.5,1.03,10.5,1.03,14.5,1.03,28.0,1.03,24.0,1.03,15.5,1.03,19.5,1.03,38.0,1.03,46.0,1.03,30.0,1.03,40.0,1.03,80.0,12.5,19.5,11.5,16.5,1.03,1000.0,33877737,16922830.0,61511713.0,58805.0,1.237369311,1.237369356,1.237369395,1.237369320,3.15,4.7,1.27,1.46,4.2,36.0,1.03,1.32,4.2,36.0,1.04,1.32,1.64,1.79,1.46,1.61,1.27,1.38,1.237369312,1.237369314,1.237369315,1.237369359
UEFA Europa Conference League,2024-12-19,17:00:00,Lask Linz,Vikingur Reykjavik,1.79,1.81,5.1,5.2,4.0,4.1,2.24,2.42,1.71,1.81,1.69,1.82,2.22,2.46,15.5,19.5,18.5,21.0,19.5,40.0,10.5,120.0,9.4,11.5,8.6,9.8,17.0,19.0,28.0,60.0,10.0,12.5,9.2,10.0,16.0,22.0,27.0,60.0,17.0,19.5,15.0,17.5,26.0,32.0,34.0,90.0,8.2,9.6,23.0,55.0,10.5,1000.0,33870044,8587663.0,5241831.0,58805.0,1.237236100,1.237236110,1.237236099,1.237236109,3.0,4.4,1.29,1.49,13.5,26.0,1.04,1.07,4.5,5.4,1.22,1.29,1.24,1.25,2.24,2.28,1.32,1.34,1.237236091,1.237236103,1.237236104,1.237236114
UEFA Europa Conference League,2024-12-19,17:00:00,Molde,Mlada Boleslav,1.5,1.53,7.0,7.6,4.8,5.1,2.46,2.68,1.6,1.69,1.78,1.87,2.16,2.28,19.5,23.0,25.0,29.0,32.0,65.0,16.0,210.0,9.8,11.0,10.0,11.5,23.0,25.0,15.5,90.0,9.2,10.5,9.2,9.8,18.0,21.0,14.0,95.0,12.5,14.0,13.5,15.0,25.0,29.0,16.0,110.0,5.6,6.2,14.5,85.0,17.5,1000.0,33870045,31321.0,886284.0,58805.0,1.237235992,1.237236002,1.237235991,1.237236001,3.85,5.1,1.24,1.35,13.5,36.0,1.03,1.06,4.2,6.6,1.17,1.31,1.15,1.17,2.88,3.0,1.25,1.27,1.237235983,1.237235995,1.237235996,1.237236006
