League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Hong Kong Premier League,2025-01-05,04:00:00,North District,Hong Kong Rangers FC,2.34,3.35,2.16,2.98,3.4,950.0,2.56,1000.0,1.01,1.64,1.12,1.64,1.12,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,13.5,1.03,15.0,1.03,1000.0,1.03,1000.0,1.03,16.0,1.03,17.5,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,9.6,16.0,8.4,14.0,1.03,1000.0,33909109,21137551.0,6620679.0,58805.0,1.237804263,1.237804308,1.237804347,1.237804272,1.2,1000.0,1.01,20.0,2.76,1000.0,1.01,1.46,2.38,1000.0,1.01,1.72,1.51,1.87,1.45,1.75,1.17,1.39,1.237804264,1.237804266,1.237804267,1.237804311
Hong Kong Premier League,2025-01-05,05:30:00,Hong Kong FC,Wofoo Tai Po,10.5,1000.0,1.16,1.27,6.0,1000.0,2.46,1000.0,1.28,1.48,1.82,55.0,1.71,20.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,2.16,1000.0,1.03,1000.0,33909108,5222607.0,5204518.0,58805.0,1.237804353,1.237804398,1.237804437,1.237804362,1.2,7.2,1.16,20.0,1.27,1000.0,1.01,1.48,1.15,1000.0,1.01,1.48,4.7,7.6,1.05,1.09,1.09,1.17,1.237804354,1.237804356,1.237804357,1.237804401
Turkish 1 Lig,2025-01-05,07:30:00,Bandirmaspor,Manisa FK,1.85,2.32,3.55,5.4,3.0,4.8,1.72,2.14,1.87,2.4,1.68,2.16,1.87,2.48,1.03,17.0,1.03,18.5,1.03,40.0,1.03,1000.0,1.03,11.0,1.03,9.6,1.03,21.0,1.03,1000.0,1.03,15.0,1.03,12.5,1.03,24.0,1.03,1000.0,1.03,29.0,1.03,27.0,1.03,1000.0,1.03,1000.0,11.5,19.0,1.01,1000.0,1.03,1000.0,33903763,4985299.0,27282595.0,58805.0,1.237738718,1.237738763,1.237738802,1.237738727,1.2,3.85,1.35,1.6,3.15,1000.0,1.01,1.47,3.15,4.5,1.3,1.47,1.25,1.34,1.76,2.18,1.32,1.5,1.237738719,1.237738721,1.237738722,1.237738766
Turkish 1 Lig,2025-01-05,07:30:00,Umraniyespor,Erzurum BB,2.54,2.82,2.74,3.25,2.9,4.1,1.62,1.91,2.08,2.62,1.77,2.32,1.76,2.3,1.03,12.5,1.03,12.0,1.03,22.0,1.03,1000.0,1.03,12.0,1.03,9.0,1.03,16.5,1.03,46.0,1.03,22.0,1.03,16.0,1.03,25.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,26.0,1000.0,26.0,46.0,1.03,1000.0,33903759,6250160.0,7692068.0,58805.0,1.237739078,1.237739123,1.237739162,1.237739087,2.34,3.3,1.43,1.72,2.64,1000.0,1.01,1.52,2.64,3.8,1.39,1.52,1.44,1.58,1.54,1.65,1.37,1.51,1.237739079,1.237739081,1.237739082,1.237739126
Turkish Super League,2025-01-05,07:30:00,Kasimpasa,Gaziantep FK,1.88,1.9,4.2,4.6,4.0,4.3,2.32,2.52,1.66,1.76,1.64,1.74,2.34,2.54,14.5,25.0,15.0,25.0,1.03,44.0,1.03,110.0,8.8,14.5,7.2,11.0,13.0,22.0,1.03,60.0,9.6,16.0,7.8,10.5,12.5,21.0,1.03,60.0,15.0,26.0,12.5,22.0,20.0,36.0,1.03,90.0,6.8,11.0,32.0,48.0,1.03,640.0,33897415,2080735.0,13848831.0,58805.0,1.237661582,1.237661592,1.237661581,1.237661591,3.1,4.6,1.28,1.48,13.5,26.0,1.04,1.07,4.1,26.0,1.04,1.32,1.27,1.32,2.1,2.14,1.3,1.34,1.237661573,1.237661585,1.237661586,1.237661596
Portuguese Liga 3,2025-01-05,08:00:00,Covilha,SC Lusitania Dos Acores,1.85,2.44,3.35,5.5,3.0,6.2,1.66,2.14,1.87,2.5,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33899565,336269.0,7202661.0,58805.0,1.237760445,1.237760448,1.237760492,1.237760493,1.2,4.0,1.01,1.62,2.92,1000.0,1.01,1.52,2.92,4.7,1.27,1.52,1.22,1.42,1.69,2.18,1.19,1.5,1.237760494,1.237760455,1.237760446,1.237760447
Portuguese Segunda Liga,2025-01-05,08:00:00,Oliveirense,Felgueiras,3.6,5.8,1.75,2.18,3.3,6.8,1.7,2.14,1.87,2.44,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33899479,616886.0,334304.0,58805.0,1.237686387,1.237686432,1.237686471,1.237686396,2.64,3.95,1.01,20.0,3.0,1000.0,1.01,1.49,3.0,4.6,1.28,1.5,1.84,2.36,1.2,1.38,1.18,1.43,1.237686388,1.23768639,1.237686391,1.237686435
Italian Serie A,2025-01-05,08:30:00,AC Monza,Cagliari,2.54,2.58,3.2,3.3,3.3,3.35,1.89,1.95,2.06,2.12,1.8,1.85,2.16,2.26,11.5,12.5,11.0,12.5,19.0,21.0,48.0,55.0,9.6,10.5,7.0,7.4,12.5,13.5,32.0,36.0,14.5,16.0,10.5,11.5,16.0,17.5,44.0,48.0,32.0,36.0,25.0,28.0,38.0,42.0,38.0,100.0,21.0,24.0,30.0,36.0,20.0,1000.0,33886969,13659467.0,60297.0,58805.0,1.237509657,1.237509641,1.237509656,1.237509666,3.0,3.35,1.42,1.5,11.5,13.5,1.08,1.1,3.65,3.85,1.35,1.38,1.44,1.45,1.63,1.65,1.42,1.44,1.237509659,1.237509661,1.237509662,1.237509644
Italian Serie C,2025-01-05,08:30:00,SPAL,Perugia,2.38,2.98,2.86,3.8,2.74,4.1,1.64,1.97,2.02,2.74,1.76,2.3,1.77,2.32,1.03,13.0,1.03,13.0,1.03,25.0,1.03,1000.0,1.03,11.5,1.03,9.0,1.03,17.5,1.03,50.0,1.03,19.5,1.03,15.5,1.03,25.0,1.03,1000.0,1.03,48.0,1.03,40.0,1.03,1000.0,1.03,1000.0,21.0,36.0,30.0,55.0,1.03,1000.0,33906814,522046.0,215828.0,58805.0,1.237776971,1.237777016,1.237777055,1.23777698,2.36,3.35,1.43,1.66,2.68,1000.0,1.01,1.53,2.68,3.95,1.34,1.53,1.38,1.54,1.52,1.73,1.37,1.51,1.237776972,1.237776974,1.237776975,1.237777019
Scottish Premiership,2025-01-05,09:00:00,Hibernian,Rangers,5.8,6.2,1.58,1.61,4.6,4.9,2.42,2.62,1.62,1.71,1.73,1.84,2.2,2.38,18.0,30.0,9.6,13.5,8.0,13.5,11.0,18.5,18.5,32.0,8.0,13.0,8.8,12.5,11.5,19.5,1.03,65.0,16.0,27.0,14.0,24.0,20.0,36.0,1.03,190.0,1.03,90.0,1.03,75.0,1.03,110.0,48.0,80.0,6.2,8.4,1.03,1000.0,33899677,9166.0,52458346.0,58805.0,1.237690501,1.237690511,1.2376905,1.23769051,1.2,1000.0,1.01,20.0,15.0,36.0,1.03,1.06,4.7,6.6,1.18,1.27,2.62,2.74,1.19,1.2,1.26,1.28,1.237690492,1.237690504,1.237690505,1.237690515
