League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-22,03:00:00,Western Sydney Wanderers,Wellington Phoenix,2.26,2.28,3.3,3.4,3.8,3.9,2.2,2.36,1.74,1.84,1.63,1.75,2.32,2.6,17.0,19.0,14.0,16.5,23.0,27.0,50.0,65.0,11.0,12.5,8.0,8.4,13.0,13.5,30.0,38.0,14.0,16.0,9.8,11.0,14.5,16.0,36.0,42.0,27.0,30.0,20.0,23.0,28.0,34.0,11.0,80.0,12.5,15.0,23.0,30.0,13.0,1000.0,33857553,6480414.0,2469649.0,58805.0,1.237093722,1.237093726,1.237093801,1.237093723,3.3,4.6,1.28,1.49,4.4,1000.0,1.01,1.3,4.4,5.2,1.23,1.3,1.41,1.44,1.78,1.8,1.34,1.36,1.237093806,1.237093808,1.237093724,1.237093725
Azerbaijan Premier League,2024-12-22,07:00:00,Shamakhi FK,FC Sabah,4.4,7.0,1.73,1.91,3.05,4.6,1.72,1.91,2.08,2.4,1.85,1000.0,1.69,2.0,1.03,14.0,5.7,9.2,1.03,12.0,1.03,23.0,1.03,19.5,1.03,10.5,1.03,13.0,1.03,26.0,1.03,50.0,1.03,27.0,1.03,29.0,1.03,55.0,1.03,1000.0,1.03,110.0,1.03,1000.0,1.03,1000.0,80.0,1000.0,10.0,17.0,1.03,1000.0,33879386,52957291.0,15293881.0,58805.0,1.237397549,1.237397594,1.237397633,1.237397558,2.44,3.45,1.4,1.69,3.8,1000.0,1.01,1.34,2.84,4.1,1.37,1.47,2.08,2.38,1.18,1.25,1.32,1.41,1.237397550,1.237397552,1.237397553,1.237397597
Romanian Liga I,2024-12-22,07:30:00,ACS Petrolul 52,Unirea Slobozia,2.02,2.18,4.5,5.3,3.0,3.5,1.51,1.63,2.6,2.96,2.12,2.48,1.67,1.88,6.4,980.0,9.2,14.5,5.1,150.0,5.6,900.0,5.3,7.6,6.6,8.2,15.0,110.0,5.5,320.0,8.2,38.0,4.0,980.0,4.9,980.0,5.6,130.0,4.9,110.0,20.0,110.0,5.4,240.0,5.7,260.0,4.9,30.0,5.6,160.0,5.8,1000.0,33870187,14299496.0,6803100.0,58805.0,1.237243024,1.237243069,1.237243108,1.237243033,1.2,1000.0,1.48,1.85,3.4,1000.0,1.01,1.42,2.52,2.9,1.53,1.65,1.23,1.29,1.84,1.99,1.4,1.5,1.237243025,1.237243027,1.237243028,1.237243072
Spanish Segunda RFEF - Group 2,2024-12-22,07:30:00,Real Zaragoza II,CD Alaves B,1.99,3.35,1.84,3.8,2.28,950.0,1.48,1.87,2.16,3.05,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33874668,10479409.0,22681017.0,58805.0,1.237322392,1.237322437,1.237322476,1.237322401,1.01,1000.0,1.01,1000.0,2.46,1000.0,1.01,1.69,2.46,3.9,1.35,1.69,1.35,1.84,1.42,2.02,1.19,1.79,1.237322393,1.237322395,1.237322396,1.237322440
Spanish Segunda RFEF - Group 4,2024-12-22,07:30:00,FC La Union Atletico,Linense,1.8,2.34,4.0,7.2,2.74,950.0,1.4,1.76,2.32,3.5,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33875009,21952475.0,3303612.0,58805.0,1.237331607,1.237331652,1.237331691,1.237331616,1.01,3.1,1.01,1.87,2.22,1000.0,1.01,1.82,2.22,3.35,1.43,1.82,1.16,1.34,1.74,2.26,1.24,1.58,1.237331608,1.237331610,1.237331611,1.237331655
Spanish Segunda RFEF - Group 5,2024-12-22,07:30:00,Getafe B,Cacereno,1.34,2.44,3.5,6.2,2.8,950.0,1.52,1.93,2.06,2.94,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33875031,4943234.0,4144561.0,58805.0,1.237331247,1.237331292,1.237331331,1.237331256,1.01,1000.0,1.41,1.75,2.48,1000.0,1.01,1.68,2.48,3.9,1.35,1.68,1.19,1.4,1.69,3.95,1.26,1.56,1.237331248,1.237331250,1.237331251,1.237331295
Turkish 1 Lig,2024-12-22,07:30:00,Keciorengucu,Fatih Karagumruk Istanbul,1.51,3.8,1.62,3.0,3.45,950.0,1.81,2.4,1.71,2.24,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33870075,2080693.0,10472882.0,58805.0,1.237237758,1.237237803,1.237237842,1.237237767,1.01,1000.0,1.01,1000.0,1.31,1000.0,1.01,4.2,3.3,5.6,1.22,1.43,1.5,2.62,1.37,2.98,1.13,1.41,1.237237759,1.237237761,1.237237762,1.237237806
Turkish Super League,2024-12-22,07:30:00,Gaziantep FK,Antalyaspor,2.32,2.6,3.35,3.45,3.05,3.55,1.34,1000.0,1.01,3.95,1.01,1000.0,1.01,1000.0,1.01,1000.0,9.2,1000.0,15.0,1000.0,1.01,1000.0,7.2,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,9.2,1000.0,7.2,1000.0,1.01,1000.0,1.01,1000.0,17.5,1000.0,15.0,1000.0,1.01,1000.0,1.01,1000.0,10.0,1000.0,1.01,1000.0,1.01,1000.0,33870069,13848831.0,113188.0,58805.0,1.237237704,1.237237714,1.237237703,1.237237713,1.01,1000.0,1.01,1000.0,3.4,1000.0,1.01,1.42,3.4,1000.0,1.01,1.42,1.4,1.43,1.69,1.75,1.39,1.41,1.237237695,1.237237707,1.237237708,1.237237718
Turkish 2 Lig,2024-12-22,08:00:00,Karacabey Belediyespor AS,68 Aksaray Belediyespo,1.1,1000.0,1.1,1000.0,1.9,950.0,1.01,1000.0,1.01,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33875500,20599341.0,77991050.0,58805.0,1.237337307,1.237337352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkish 2 Lig,2024-12-22,08:00:00,Kepez Belediyespor,1461 Trabzon,2.1,2.94,2.74,4.2,2.82,950.0,1.71,2.24,1.81,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33875181,5204763.0,5289229.0,58805.0,1.237334253,1.237334298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
