League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-14,01:00:00,Wellington Phoenix,Macarthur FC,2.32,2.4,3.15,3.35,3.65,3.85,2.08,2.26,1.8,1.93,1.66,1.81,2.24,2.52,12.0,20.0,10.5,17.5,16.5,28.0,4.8,65.0,8.8,13.0,7.0,9.0,10.0,17.0,4.9,42.0,11.5,19.5,8.4,12.5,12.0,21.0,5.0,55.0,4.8,40.0,17.0,29.0,4.9,42.0,4.7,100.0,13.0,20.0,19.5,34.0,4.9,1000.0,33833798,2469649.0,36700739.0,58805.0,1.236708848,1.236708852,1.236708927,1.236708849,3.25,4.2,1.35,1.44,3.9,1000.0,1.02,1.09,3.9,4.9,1.26,1.35,1.42,1.46,1.72,1.76,1.35,1.38,1.236708932,1.236708934,1.236708850,1.236708851
Australian A-League Men,2024-12-14,03:00:00,Sydney FC,Western United,1.53,1.58,5.8,6.4,5.0,5.6,2.94,3.2,1.45,1.52,1.6,1.7,2.42,2.64,5.1,46.0,5.1,40.0,5.1,75.0,5.3,180.0,10.0,17.0,11.0,15.5,16.5,28.0,5.1,80.0,11.0,15.0,9.4,11.0,13.5,23.0,5.1,60.0,11.0,18.5,11.0,18.0,17.0,29.0,5.1,80.0,4.1,5.3,5.0,60.0,5.4,460.0,33833789,1205121.0,24301731.0,58805.0,1.236708743,1.236708747,1.236708822,1.236708744,3.9,6.0,1.2,1.34,1.01,1000.0,1.01,1.05,3.3,8.8,1.13,1.2,1.18,1.2,2.72,2.9,1.21,1.25,1.236708827,1.236708829,1.236708745,1.236708746
Australian A-League Men,2024-12-14,05:35:00,Western Sydney Wanderers,Brisbane Roar,1.85,1.91,3.95,4.3,4.3,4.6,2.74,2.98,1.52,1.57,1.53,1.61,2.62,2.88,5.1,40.0,16.5,28.0,5.1,42.0,5.5,90.0,11.0,17.5,8.0,11.0,11.5,19.5,5.2,46.0,11.5,18.5,7.8,11.0,11.0,18.5,5.1,42.0,16.5,27.0,13.0,22.0,17.0,29.0,5.3,65.0,6.2,8.2,17.5,30.0,5.7,350.0,33833817,6480414.0,3862627.0,58805.0,1.236708953,1.236708957,1.236709032,1.236708954,3.7,1000.0,1.21,1.37,21.0,36.0,1.03,1.05,5.5,36.0,1.14,1.22,1.31,1.34,2.08,2.18,1.28,1.31,1.236709037,1.236709039,1.236708955,1.236708956
Romanian Liga II,2024-12-14,06:00:00,CS Afumati,CSA Steaua Bucuresti,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33856358,7290083.0,18120525.0,58805.0,1.237038742,1.237038787,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Romanian Liga II,2024-12-14,06:00:00,CSC 1599 Selimbar,Bihor Oradea,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33856339,48459989.0,5525110.0,58805.0,1.237038321,1.237038366,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Romanian Liga II,2024-12-14,06:00:00,ASA Unirea Ungheni,CSM Focsani,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33856355,25484745.0,15289429.0,58805.0,1.237038628,1.237038673,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Romanian Liga II,2024-12-14,06:00:00,Chindia Targoviste,Csikszereda,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33856335,5823182.0,8886239.0,58805.0,1.237038231,1.237038276,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Romanian Liga II,2024-12-14,06:00:00,FC Voluntari,ACS Dumbravita,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33856363,8838645.0,20498949.0,58805.0,1.237038852,1.237038898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Azerbaijan Premier League,2024-12-14,07:00:00,Shamakhi FK,Sabail,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33860387,52957291.0,14003203.0,58805.0,1.237103332,1.237103377,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Romanian Liga II,2024-12-14,07:00:00,Ceahlaul,CSM Scolar Resita,1.1,1000.0,1.1,1000.0,1.1,1000.0,1.07,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33855567,1557295.0,12623697.0,58805.0,1.237027870,1.237027915,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
