League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-20,05:35:00,Adelaide United,Sydney FC,2.22,2.3,3.05,3.15,4.2,4.4,3.15,3.45,1.41,1.46,1.41,1.49,3.05,3.4,29.0,36.0,21.0,25.0,25.0,30.0,42.0,50.0,18.5,22.0,10.0,12.0,13.0,14.5,23.0,27.0,19.0,22.0,11.0,12.5,13.0,13.5,24.0,28.0,28.0,34.0,17.5,20.0,21.0,23.0,36.0,42.0,7.4,8.8,11.5,13.5,13.0,250.0,33857557,571273.0,1205121.0,58805.0,1.237093917,1.237093921,1.237093996,1.237093918,4.2,6.0,1.2,1.31,26.0,55.0,1.03,1.04,1.15,10.5,1.11,1.14,1.47,1.49,1.78,1.82,1.29,1.32,1.237094001,1.237094003,1.237093919,1.237093920
Azerbaijan Premier League,2024-12-20,09:00:00,Kapaz Ganja,FK Sumqayit,2.7,3.95,2.34,2.92,2.64,950.0,1.34,2.0,2.0,3.95,1.12,55.0,1.12,1000.0,1.03,15.5,1.03,12.5,1.03,19.0,1.03,1000.0,1.03,15.0,1.03,9.6,1.03,14.5,1.03,1000.0,1.03,1000.0,1.03,17.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.5,1000.0,1.5,1000.0,1.03,1000.0,33875127,10135605.0,7547173.0,58805.0,1.237328032,1.237328077,1.237328116,1.237328041,1.2,3.65,1.01,20.0,1.81,1000.0,1.01,1.49,1.81,1000.0,1.28,1.49,1.55,1.75,1.34,1.59,1.3,1.52,1.237328033,1.237328035,1.237328036,1.237328080
Tunisian Ligue Professionelle 1,2024-12-20,10:00:00,Stade Tunisien,Olympique De Beja,1.04,1.97,1.04,870.0,2.62,1000.0,1.19,1.79,2.28,9.4,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.5,1000.0,1.5,1000.0,1.03,1000.0,33875573,8855430.0,21417314.0,58805.0,1.237339208,1.237339253,1.237339292,1.237339217,1.2,1000.0,1.01,20.0,3.7,1000.0,1.01,1.37,1.87,2.52,1.66,2.14,1.12,1.33,2.02,26.0,1.01,1.62,1.237339209,1.237339211,1.237339212,1.237339256
Tunisian Ligue Professionelle 1,2024-12-20,10:00:00,AS Solimane,Monastir,4.7,9.6,1.09,2.16,2.68,1000.0,1.27,1.6,2.68,4.7,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.5,1000.0,1.5,1000.0,1.03,1000.0,33875575,16272104.0,8881046.0,58805.0,1.237339117,1.237339162,1.237339201,1.237339126,1.2,1000.0,1.01,20.0,3.65,1000.0,1.01,1.38,1.92,2.8,1.55,2.1,1.86,2.3,1.11,1.27,1.28,1.59,1.237339118,1.237339120,1.237339121,1.237339165
Algerian Ligue 1,2024-12-20,11:00:00,USM Khenchela,US Biskra,1.04,1000.0,1.1,1000.0,1.24,1000.0,1.12,990.0,1.01,10.5,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.5,1000.0,1.5,1000.0,1.03,1000.0,33876524,12249065.0,10676283.0,58805.0,1.237351824,1.237351869,1.237351908,1.237351833,1.2,1000.0,1.01,20.0,1.15,1000.0,1.01,8.0,1.14,1000.0,1.01,9.4,1.01,11.0,1.01,36.0,1.01,5.2,1.237351825,1.237351827,1.237351828,1.237351872
Egyptian Premier,2024-12-20,12:00:00,Future FC,National Bank,2.4,3.3,2.76,3.95,2.68,4.6,1.39,1.67,2.48,3.6,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33865748,41860831.0,10492935.0,58805.0,1.237171125,1.237171170,1.237171209,1.237171134,1.2,1000.0,1.51,1.89,2.18,10.5,1.11,1.2,2.18,3.1,1.48,1.84,1.33,1.57,1.43,1.72,1.28,1.59,1.237171126,1.237171128,1.237171129,1.237171173
Egyptian Premier,2024-12-20,12:00:00,El Gounah,ENPPI,3.15,4.9,2.3,2.66,2.74,4.1,1.37,1.65,2.52,3.75,1.02,1000.0,1.02,1000.0,5.2,10.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33867541,5202561.0,5259327.0,58805.0,1.237201136,1.237201181,1.237201220,1.237201145,1.2,1000.0,1.51,1.9,2.22,1000.0,1.01,1.81,2.22,3.2,1.46,1.81,1.6,1.77,1.25,1.47,1.32,1.57,1.237201137,1.237201139,1.237201140,1.237201184
Algerian Ligue 1,2024-12-20,12:30:00,MC Alger,ASO Chlef,1.44,1.68,1.09,1000.0,3.4,1000.0,1.12,1000.0,1.01,10.5,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33876533,5177434.0,6488669.0,58805.0,1.237351914,1.237351959,1.237351998,1.237351923,1.01,1000.0,1.01,1000.0,1.12,1000.0,1.01,10.5,1.12,110.0,1.01,10.5,1.12,1.27,2.46,3.3,1.23,1.42,1.237351915,1.237351917,1.237351918,1.237351962
Serbian Super League,2024-12-20,13:00:00,Mladost Lucani,FK Novi Pazar,2.0,2.76,3.1,4.6,2.96,950.0,1.7,2.22,1.83,2.42,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33874967,2503610.0,9899252.0,58805.0,1.237329121,1.237329214,1.237329294,1.237329139,1.01,1000.0,1.01,1000.0,2.46,1000.0,1.01,1.68,2.46,110.0,1.01,1.68,1.28,1.48,1.56,2.0,1.21,1.51,1.237329123,1.237329128,1.237329130,1.237329224
Turkish Super League,2024-12-20,14:00:00,Eyupspor,Fenerbahce,5.8,6.4,1.58,1.62,4.6,4.9,2.38,2.56,1.64,1.73,1.76,1.85,2.14,2.34,15.5,27.0,9.4,11.0,9.2,11.0,13.0,18.5,1.03,32.0,9.8,11.5,9.0,10.5,13.5,18.5,1.03,65.0,21.0,28.0,18.5,25.0,1.03,36.0,1.03,180.0,1.03,90.0,1.03,85.0,1.03,120.0,50.0,85.0,6.0,6.8,1.03,1000.0,33870470,4202656.0,46726.0,58805.0,1.237246891,1.237246901,1.237246890,1.237246900,1.01,1000.0,1.01,1000.0,15.0,26.0,1.04,1.06,4.1,6.4,1.19,1.32,2.6,2.76,1.19,1.21,1.26,1.28,1.237246882,1.237246894,1.237246895,1.237246905
