League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-21,01:00:00,Auckland FC,Western United,1.6,1.61,5.7,6.2,4.7,4.9,2.22,2.5,1.67,1.82,1.74,1.9,2.12,2.36,15.0,21.0,21.0,26.0,40.0,50.0,9.2,150.0,8.8,11.5,9.0,10.5,19.5,23.0,60.0,75.0,9.2,11.0,8.8,10.5,17.5,21.0,55.0,75.0,14.5,16.5,13.5,16.0,24.0,32.0,8.8,100.0,6.6,8.2,48.0,75.0,9.8,1000.0,33857549,47625959.0,24301731.0,58805.0,1.237093422,1.237093426,1.237093501,1.237093423,3.25,4.5,1.29,1.45,4.2,1000.0,1.01,1.08,4.2,6.0,1.2,1.31,1.2,1.21,2.62,2.68,1.25,1.27,1.237093506,1.237093508,1.237093424,1.237093425
Australian A-League Men,2024-12-21,03:00:00,Brisbane Roar,Perth Glory,1.65,1.67,5.1,5.5,4.7,5.0,2.84,3.0,1.5,1.54,1.59,1.68,2.46,2.7,24.0,32.0,25.0,28.0,44.0,48.0,17.5,130.0,12.0,13.5,10.5,11.5,18.0,20.0,48.0,55.0,11.5,13.0,9.4,10.0,15.5,17.0,40.0,46.0,15.5,17.5,14.0,15.5,21.0,23.0,55.0,65.0,5.7,6.2,30.0,40.0,19.5,460.0,33857554,3862627.0,370132.0,58805.0,1.237093545,1.237093579,1.237093696,1.237093555,3.75,5.7,1.21,1.37,1.16,36.0,1.03,1.22,3.05,8.8,1.13,1.22,1.22,1.25,2.48,2.54,1.25,1.28,1.237093701,1.237093703,1.237093576,1.237093578
Hong Kong Premier League,2024-12-21,04:00:00,Hong Kong Rangers FC,Wofoo Tai Po,1.22,1000.0,1.02,1000.0,1.24,1000.0,1.17,990.0,1.01,7.8,1.02,1000.0,1.02,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33876831,6620679.0,5204518.0,58805.0,1.237355417,1.237355462,1.237355501,1.237355426,1.2,1000.0,1.01,20.0,1.18,1000.0,1.01,990.0,1.17,1000.0,1.01,7.8,1.01,110.0,1.01,110.0,1.01,5.4,1.237355418,1.237355420,1.237355421,1.237355465
Australian A-League Men,2024-12-21,05:35:00,Melbourne Victory,Melbourne City,2.02,2.08,3.75,4.1,3.9,4.0,2.14,2.38,1.73,1.88,1.64,1.77,2.3,2.58,16.5,20.0,15.5,19.0,27.0,32.0,10.5,80.0,10.0,12.5,7.6,8.8,13.5,16.0,36.0,44.0,12.0,14.5,9.0,10.5,14.5,16.0,36.0,46.0,20.0,24.0,17.0,20.0,24.0,30.0,60.0,75.0,10.0,12.0,9.4,40.0,12.5,1000.0,33857545,1205124.0,8586946.0,58805.0,1.237093227,1.237093231,1.237093306,1.237093228,3.3,4.2,1.32,1.44,13.5,26.0,1.05,1.08,4.1,5.2,1.23,1.32,1.33,1.36,1.92,1.99,1.33,1.35,1.237093311,1.237093313,1.237093229,1.237093230
Turkish 1 Lig,2024-12-21,07:30:00,Erzurum BB,Sakaryaspor,1.58,1.74,5.5,7.2,4.0,4.6,1.93,2.3,1.78,2.08,1.89,2.12,1.89,2.12,11.0,980.0,1.13,980.0,1.01,60.0,1.01,200.0,6.4,10.5,7.2,11.5,1.13,980.0,1.01,110.0,7.2,12.0,7.6,12.5,1.13,980.0,1.01,110.0,11.5,19.5,1.13,22.0,1.01,46.0,1.01,170.0,7.2,12.0,1.01,130.0,1.01,1000.0,33868436,7692068.0,508781.0,58805.0,1.237219966,1.237220011,1.237220050,1.237219975,1.2,1000.0,1.01,20.0,10.0,21.0,1.05,1.1,3.7,4.5,1.29,1.37,1.17,1.22,2.32,2.72,1.27,1.34,1.237219967,1.237219969,1.237219970,1.237220014
Spanish Segunda RFEF - Group 4,2024-12-21,08:00:00,Granada B,Villanovense,1.35,2.44,3.35,6.2,2.88,1000.0,1.6,2.14,1.87,2.64,1.02,1000.0,1.02,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33875008,7602492.0,2250365.0,58805.0,1.237331697,1.237331742,1.237331781,1.237331706,2.42,3.95,1.01,20.0,2.74,1000.0,1.01,1.57,2.74,4.7,1.27,1.57,1.19,1.42,1.69,990.0,1.02,1.53,1.237331698,1.237331700,1.237331701,1.237331745
Spanish Segunda RFEF - Group 3,2024-12-21,08:00:00,Mallorca B,CE Europa,3.3,6.0,1.09,2.48,2.88,1000.0,1.58,2.12,1.89,2.72,1.02,1000.0,1.02,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33874986,4144563.0,5878416.0,58805.0,1.237332507,1.237332552,1.237332591,1.237332516,1.2,1000.0,1.33,20.0,2.68,1000.0,1.01,1.59,2.68,4.7,1.27,1.59,1.67,990.0,1.2,1.43,1.02,1.53,1.237332508,1.237332510,1.237332511,1.237332555
Spanish Segunda RFEF - Group 4,2024-12-21,08:00:00,Deportiva Minera,Juventud Torremolinos,2.02,2.82,3.0,5.1,2.72,950.0,1.54,1.97,2.02,2.84,1.02,1000.0,1.02,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33875004,6176006.0,6929240.0,58805.0,1.237331877,1.237331922,1.237331961,1.237331886,1.2,3.6,1.01,20.0,2.62,1000.0,1.01,1.61,2.62,4.2,1.31,1.61,1.24,1.49,1.54,1.97,1.21,1.58,1.237331878,1.237331880,1.237331881,1.237331925
Portuguese Segunda Liga,2024-12-21,08:00:00,Vizela,Porto B,1.94,2.26,3.6,4.9,3.2,4.5,1.82,2.12,1.89,2.22,1.73,2.0,2.0,2.36,1.01,980.0,1.01,980.0,1.01,38.0,1.01,1000.0,1.03,980.0,1.03,980.0,1.01,980.0,1.01,65.0,1.01,15.5,1.03,980.0,1.01,980.0,1.01,75.0,1.01,30.0,1.01,28.0,1.01,48.0,1.01,1000.0,1.01,19.5,1.01,70.0,1.01,1000.0,33870381,1358404.0,6563315.0,58805.0,1.237245591,1.237245637,1.237245676,1.237245600,2.7,3.9,1.34,1.59,10.0,18.0,1.06,1.11,3.15,4.7,1.29,1.41,1.27,1.38,1.79,2.08,1.32,1.45,1.237245592,1.237245594,1.237245595,1.237245640
Spanish Segunda RFEF - Group 3,2024-12-21,08:00:00,Elche B,Santa Eulalia,2.12,3.05,2.78,4.6,2.74,5.9,1.54,2.06,1.94,2.84,1.02,1000.0,1.02,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33874991,7602490.0,3303608.0,58805.0,1.237332327,1.237332372,1.237332411,1.237332336,1.2,1000.0,1.35,20.0,2.62,1000.0,1.01,1.61,2.62,4.5,1.28,1.61,1.27,1.56,1.48,1.89,1.21,1.57,1.237332328,1.237332330,1.237332331,1.237332375
