League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
France Ligue 2,2024-12-14,10:00:00,16,Lorient,Paris,2.6,2.1,4.0,1.91,3.5,3.4,1.4,2.75,1.05,9.5,1.3,3.3,1.95,1.9,1.78,2.0,1.28,1.25,1.8,3.0,2.13,1.78,1.43,3.21,1.65,6.4,2.55,1.44,2.55,1.74,1.97,2.17,1.58,2.8,1.37,3.7,1.22
Italy Serie B,2024-12-14,11:00:00,17,Frosinone,Sassuolo,4.33,2.2,2.6,3.7,3.25,1.95,1.4,2.75,1.06,8.5,1.3,3.4,2.0,1.85,1.8,1.95,1.83,1.25,1.25,1.0,2.25,1.36,1.43,2.79,2.5,6.4,1.65,1.41,2.65,1.68,2.02,2.1,1.65,2.65,1.4,3.55,1.24
Italy Serie B,2024-12-14,11:00:00,17,Südtirol,Mantova,3.0,1.85,3.95,2.1,3.0,3.6,1.55,2.3,1.09,7.0,1.5,2.55,2.3,1.5,2.05,1.67,1.3,1.3,1.62,0.88,0.38,1.43,1.08,2.51,1.79,6.25,2.28,1.5,2.38,1.85,1.83,2.4,1.5,3.15,1.3,4.2,1.18
Portugal LigaPro,2024-12-14,11:00:00,14,FC Penafiel,Leixões,3.4,1.95,3.3,2.63,3.1,2.55,1.51,2.4,1.03,6.6,1.42,2.75,2.15,1.57,1.9,1.83,1.45,1.3,1.45,1.71,0.83,1.24,1.38,2.62,2.29,8.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.82,0.0,0.0
Italy Serie B,2024-12-14,11:00:00,17,Cesena,Cosenza,2.55,2.05,4.33,1.87,3.25,4.0,1.43,2.65,1.06,8.5,1.33,3.1,2.0,1.67,1.87,1.87,1.2,1.25,1.85,2.13,1.43,1.6,1.35,2.95,1.65,6.1,2.55,1.45,2.55,1.75,1.95,2.23,1.57,2.9,1.35,3.9,1.21
Croatia Prva HNL,2024-12-14,11:00:00,17,Lokomotiva Zagreb,Dinamo Zagreb,6.5,2.38,2.0,7.5,4.33,1.42,1.33,3.12,1.02,10.0,1.2,4.0,1.8,2.0,1.91,1.8,2.22,1.25,1.17,0.63,1.5,1.51,1.59,3.1,3.2,6.65,1.58,1.28,3.08,1.53,2.41,1.92,1.88,2.38,1.54,3.42,1.23
Italy Serie B,2024-12-14,11:00:00,17,Reggiana,Modena,3.5,1.91,3.2,2.7,2.9,2.62,1.5,2.4,1.09,7.0,1.45,2.7,2.37,1.48,1.93,1.75,1.5,1.3,1.4,1.13,0.63,1.25,1.07,2.32,2.08,6.1,1.92,1.53,2.3,1.9,1.79,2.43,1.48,3.25,1.28,4.35,1.17
Italy Serie A,2024-12-14,11:00:00,16,Cagliari,Atalanta,5.0,2.4,2.1,4.5,4.0,1.67,1.3,3.4,1.02,17.0,1.19,4.75,1.57,2.25,1.67,2.1,2.45,1.18,1.15,1.13,2.0,1.42,1.74,3.16,2.8,6.75,1.52,1.27,3.3,1.47,2.43,1.78,1.91,2.23,1.57,2.85,1.36
Wales Welsh Premier League,2024-12-14,11:30:00,17,Caernarfon Town,Barry Town United,2.75,2.3,3.25,2.31,3.55,2.75,1.3,3.4,1.02,16.0,1.16,5.0,1.6,2.2,1.53,2.38,1.28,1.23,1.59,0.88,1.38,1.33,1.32,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany Bundesliga,2024-12-14,11:30:00,14,Borussia M'gladbach,Holstein Kiel,1.91,2.63,5.5,1.57,4.0,5.5,1.25,3.75,1.01,23.0,1.15,5.5,1.61,2.2,1.57,2.25,1.12,1.15,2.7,1.86,0.33,1.56,1.18,2.74,1.33,7.5,3.55,1.2,3.9,1.36,2.8,1.58,2.18,1.94,1.76,2.43,1.48
Germany Bundesliga,2024-12-14,11:30:00,14,Augsburg,Bayer Leverkusen,5.5,2.38,2.1,6.25,4.33,1.48,1.33,3.25,1.03,17.0,1.2,4.5,1.68,2.05,1.7,2.05,2.35,1.19,1.17,2.0,2.0,1.69,1.55,3.24,3.3,7.0,1.41,1.29,3.15,1.5,2.35,1.82,1.86,2.28,1.54,2.9,1.34
Germany Bundesliga,2024-12-14,11:30:00,14,Union Berlin,Bochum,2.2,2.2,6.0,1.53,4.0,6.5,1.4,2.75,1.05,12.0,1.3,3.6,1.75,2.0,1.95,1.8,1.12,1.2,2.45,1.83,0.0,1.27,1.19,2.46,1.32,7.5,3.7,1.27,3.3,1.48,2.45,1.76,1.94,2.18,1.58,2.8,1.37
Germany Bundesliga,2024-12-14,11:30:00,14,Mainz 05,Bayern München,5.5,2.5,1.95,8.5,5.0,1.33,1.29,3.5,1.02,19.0,1.18,5.0,1.5,2.55,1.67,2.1,2.8,1.15,1.1,1.14,2.43,1.51,2.09,3.6,3.9,7.5,1.29,1.34,2.9,1.56,2.23,1.91,1.78,2.43,1.48,3.2,1.29
England EFL League One,2024-12-14,12:00:00,20,Wrexham,Cambridge United,2.2,2.2,6.0,1.57,4.0,5.25,1.4,2.75,1.05,9.5,1.28,3.55,1.93,1.93,2.0,1.75,1.15,1.18,2.25,2.8,0.44,1.41,1.12,2.53,1.46,7.0,3.05,1.3,3.1,1.52,2.33,1.84,1.84,2.32,1.52,2.95,1.33
Belgium Pro League,2024-12-14,12:00:00,18,Beerschot-Wilrijk,Standard Liège,3.75,2.1,3.0,3.25,3.1,2.2,1.44,2.63,1.04,9.45,1.32,3.26,1.85,1.85,1.8,1.95,1.68,1.28,1.36,1.13,0.63,1.07,0.93,2.0,1.9,6.5,2.08,1.25,3.55,1.44,2.55,1.75,1.95,2.12,1.64,2.65,1.41
Serbia SuperLiga,2024-12-14,12:00:00,19,Železničar Pančevo,Jedinstvo Ub,1.95,2.25,6.5,1.44,4.1,6.5,1.36,3.0,1.05,8.5,1.27,3.55,1.85,1.95,2.1,1.67,1.09,1.16,2.29,1.0,0.11,1.37,1.02,2.39,1.3,9.5,4.44,1.48,2.53,1.8,2.0,2.34,1.56,3.1,1.34,0.0,0.0
England Premier League,2024-12-14,12:00:00,16,Arsenal,Everton,1.67,2.6,10.0,1.25,5.5,11.0,1.3,3.4,1.03,17.0,1.21,4.7,1.67,2.1,2.2,1.62,1.02,1.12,4.1,2.43,0.71,2.1,1.27,3.37,1.14,10.0,5.8,1.17,4.35,1.3,3.15,1.5,2.38,1.79,1.9,2.18,1.58
England Premier League,2024-12-14,12:00:00,16,Newcastle United,Leicester City,1.73,2.75,7.0,1.33,5.5,7.5,1.25,3.75,1.01,24.0,1.14,6.2,1.5,2.55,1.8,1.95,1.06,1.14,3.4,1.57,0.71,1.32,1.16,2.48,1.23,8.5,4.4,1.15,4.6,1.27,3.3,1.46,2.5,1.72,1.98,2.08,1.65
England Premier League,2024-12-14,12:00:00,16,Wolverhampton Wanderers,Ipswich Town,2.5,2.3,4.0,1.83,3.7,4.0,1.33,3.25,1.04,15.0,1.24,4.25,1.65,2.1,1.62,2.2,1.27,1.26,1.96,0.57,0.71,1.14,0.98,2.12,1.65,6.75,2.45,1.17,4.35,1.3,3.15,1.5,2.38,1.79,1.9,2.2,1.57
Czech Republic First League,2024-12-14,12:00:00,19,Pardubice,Slovan Liberec,3.8,2.1,2.73,3.2,3.4,2.16,1.4,2.82,1.0,8.2,1.26,3.08,1.95,1.82,1.75,1.96,1.65,1.29,1.33,1.0,1.11,1.26,1.47,2.73,3.06,9.0,1.51,0.0,0.0,0.0,0.0,1.51,2.46,1.77,1.95,2.27,1.59
Czech Republic First League,2024-12-14,12:00:00,19,Bohemians 1905,Karviná,2.5,2.25,4.0,1.9,3.7,3.8,1.33,3.25,1.04,9.0,1.22,4.0,1.73,2.08,1.67,2.1,1.22,1.22,1.85,1.0,0.88,1.47,1.5,2.97,1.51,8.5,3.07,0.0,0.0,1.38,2.88,1.63,2.18,1.95,1.77,2.57,1.47
England EFL League Two,2024-12-14,12:00:00,20,Cheltenham Town,Morecambe,2.5,2.2,4.5,2.1,3.4,3.4,1.4,2.75,1.05,9.0,1.3,3.4,1.93,1.93,1.8,1.91,1.22,1.22,1.9,1.5,1.1,1.3,0.94,2.24,1.69,8.0,2.54,1.24,3.65,1.45,2.55,1.82,1.98,2.35,1.52,3.2,1.3
England EFL League Two,2024-12-14,12:00:00,20,Bradford City,Swindon Town,2.3,2.25,5.0,1.83,3.6,4.2,1.36,3.0,1.05,9.0,1.28,3.55,2.0,1.85,1.83,1.83,1.15,1.22,2.2,1.88,0.8,1.48,1.06,2.54,1.51,8.5,3.07,1.19,4.2,1.36,2.88,1.65,2.1,2.1,1.65,2.8,1.38
England EFL League Two,2024-12-14,12:00:00,20,Bromley,Port Vale,3.6,2.1,3.1,3.2,3.4,2.2,1.44,2.63,1.06,8.5,1.33,3.25,2.03,1.83,1.8,1.91,1.57,1.25,1.38,1.11,2.0,1.39,1.27,2.66,2.1,8.0,1.95,1.2,4.2,1.33,3.05,1.58,2.2,2.0,1.72,2.65,1.42
England EFL League Two,2024-12-14,12:00:00,20,Carlisle United,Chesterfield,3.75,2.2,2.75,3.3,3.5,2.1,1.36,3.0,1.05,9.5,1.28,3.55,1.9,1.95,1.67,2.1,1.67,1.25,1.33,0.67,1.44,1.42,1.25,2.67,2.2,8.0,1.91,1.19,4.2,1.36,2.88,1.65,2.1,2.1,1.65,2.8,1.38
England EFL League Two,2024-12-14,12:00:00,20,Colchester United,Newport County,2.05,2.38,6.0,1.62,3.8,5.5,1.36,3.0,1.05,9.5,1.25,3.8,1.75,2.0,1.83,1.83,1.11,1.18,2.5,1.33,0.8,1.66,0.86,2.52,1.21,11.0,5.6,1.24,3.65,1.45,2.55,1.82,1.98,2.35,1.52,3.2,1.3
England EFL League Two,2024-12-14,12:00:00,20,Grimsby Town,Crewe Alexandra,3.4,2.05,3.4,2.9,3.3,2.4,1.44,2.63,1.07,9.0,1.35,3.2,2.05,1.7,1.83,1.83,1.47,1.3,1.47,1.33,1.44,1.28,1.12,2.4,1.95,8.0,2.1,1.21,3.95,1.4,2.7,1.72,2.0,2.2,1.58,3.0,1.34
England EFL League Two,2024-12-14,12:00:00,20,Milton Keynes Dons,Gillingham,2.5,2.2,4.5,1.91,3.4,4.0,1.4,2.75,1.05,10.0,1.33,3.25,1.95,1.8,1.8,1.91,1.22,1.25,1.95,2.0,1.0,1.31,1.02,2.33,1.55,8.5,2.91,1.26,3.5,1.48,2.45,1.92,1.88,2.43,1.49,3.35,1.28
England Championship,2024-12-14,12:00:00,21,Blackburn Rovers,Luton Town,3.0,2.05,3.75,2.25,3.2,3.1,1.44,2.63,1.07,9.5,1.4,3.0,2.15,1.65,1.91,1.8,1.38,1.28,1.63,2.11,0.44,1.31,1.16,2.47,2.38,7.0,1.68,1.11,5.33,1.27,3.46,1.51,2.5,1.82,1.98,2.29,1.61
England EFL League Two,2024-12-14,12:00:00,20,AFC Wimbledon,Doncaster Rovers,3.0,2.1,3.75,2.5,3.3,2.8,1.44,2.63,1.06,8.5,1.35,3.1,2.0,1.73,1.8,1.91,1.36,1.28,1.6,1.89,1.89,1.53,1.47,3.0,1.82,8.0,2.39,1.2,4.2,1.33,3.05,1.58,2.2,2.0,1.72,2.65,1.42
England EFL League Two,2024-12-14,12:00:00,20,Walsall,Barrow,2.5,2.1,4.75,1.83,3.6,4.2,1.44,2.63,1.05,10.0,1.33,3.25,2.0,1.85,1.83,1.83,1.25,1.25,1.9,2.22,0.89,1.56,1.09,2.65,1.55,8.5,2.91,1.21,3.95,1.4,2.7,1.72,2.0,2.2,1.58,3.0,1.34
England Premier League,2024-12-14,12:00:00,16,Liverpool,Fulham,1.73,2.75,7.5,1.33,6.0,7.0,1.25,3.75,1.01,24.0,1.14,6.2,1.45,2.7,1.8,1.95,1.05,1.13,3.6,2.57,1.29,1.76,1.36,3.12,1.23,8.0,4.4,1.14,4.8,1.26,3.4,1.44,2.55,1.68,2.04,2.04,1.68
England Championship,2024-12-14,12:00:00,21,Oxford United,Sheffield Wednesday,3.6,2.2,3.0,3.0,3.25,2.3,1.4,2.75,1.05,12.0,1.3,3.6,1.9,1.95,1.67,2.1,1.53,1.28,1.48,1.6,1.44,1.05,1.08,2.13,2.48,7.0,1.64,1.13,4.88,1.31,3.22,1.57,2.37,1.92,1.88,2.42,1.55
England Championship,2024-12-14,12:00:00,21,Sheffield United,Plymouth Argyle,1.91,2.3,8.5,1.36,4.2,8.5,1.4,2.75,1.05,11.0,1.32,3.4,2.0,1.85,2.38,1.53,1.05,1.16,3.1,2.78,0.2,1.5,0.73,2.23,1.24,8.5,4.35,1.04,7.48,1.15,4.58,1.33,3.12,1.58,2.34,1.92,1.88
England Championship,2024-12-14,12:00:00,21,Stoke City,Cardiff City,3.1,2.05,3.75,2.62,3.2,2.62,1.44,2.63,1.07,10.0,1.38,3.1,2.05,1.7,1.83,1.83,1.38,1.28,1.63,1.3,0.56,1.27,1.1,2.37,1.56,7.0,2.65,1.18,4.1,1.32,3.05,1.53,2.32,1.83,1.85,2.28,1.54
England Championship,2024-12-14,12:00:00,21,Swansea City,Sunderland,3.5,2.05,3.4,2.8,3.1,2.55,1.5,2.5,1.08,8.5,1.42,2.9,2.15,1.65,1.83,1.83,1.48,1.3,1.5,1.44,1.5,1.43,1.23,2.66,2.07,6.75,1.9,1.22,3.65,1.4,2.65,1.65,2.07,2.02,1.68,2.55,1.44
England EFL League One,2024-12-14,12:00:00,20,Birmingham City,Bristol Rovers,1.73,2.6,9.0,1.25,5.8,9.5,1.3,3.4,1.03,11.0,1.2,4.33,1.6,2.2,2.1,1.67,1.04,1.12,3.85,2.5,0.78,1.64,0.99,2.63,1.21,9.0,4.8,1.23,3.65,1.41,2.65,1.65,2.08,1.98,1.72,2.5,1.46
Scotland Premiership,2024-12-14,12:00:00,17,Motherwell,Dundee United,3.1,2.1,3.5,2.3,3.2,3.0,1.44,2.63,1.05,10.0,1.33,3.25,2.0,1.85,1.8,1.95,1.47,1.28,1.52,1.43,1.43,1.21,1.09,2.3,1.74,6.75,2.28,1.22,3.7,1.38,2.7,1.65,2.08,2.0,1.71,2.55,1.44
Scotland Premiership,2024-12-14,12:00:00,17,St. Johnstone,St. Mirren,3.5,2.1,3.1,2.63,3.4,2.45,1.44,2.63,1.05,11.0,1.3,3.4,1.75,2.0,1.8,1.95,1.55,1.28,1.45,0.86,0.57,1.26,1.2,2.46,2.07,6.4,1.92,1.24,3.55,1.41,2.65,1.68,2.02,2.08,1.65,2.65,1.41
Romania Liga I,2024-12-14,12:00:00,20,CS U Craiova,Sepsi,2.5,2.25,4.5,1.8,3.5,4.2,1.36,3.0,1.05,8.5,1.29,3.4,1.85,2.0,1.73,2.0,1.21,1.26,1.68,1.78,1.33,1.79,1.52,3.31,1.54,6.75,2.75,1.29,3.15,1.49,2.38,1.81,1.85,2.28,1.53,2.95,1.33
Greece Super League,2024-12-14,12:00:00,15,Lamia,AEK Athens,11.0,2.5,1.73,11.0,5.25,1.22,1.33,3.25,1.0,8.3,1.24,4.1,1.61,2.05,2.38,1.53,3.85,1.16,1.07,0.43,1.43,1.18,1.72,2.9,13.0,12.0,1.03,1.36,2.85,1.7,2.0,2.22,1.58,3.1,1.31,4.25,1.18
England Championship,2024-12-14,12:00:00,21,Middlesbrough,Millwall,2.25,2.2,6.0,1.62,3.6,5.5,1.44,2.63,1.05,9.0,1.35,3.1,2.05,1.73,2.1,1.67,1.15,1.18,2.25,1.7,1.0,1.65,1.18,2.83,1.33,7.5,3.55,1.14,4.78,1.32,3.17,1.59,2.34,1.95,1.85,2.45,1.53
Scotland Premiership,2024-12-14,12:00:00,17,Hibernian,Ross County,2.05,2.3,6.0,1.57,4.0,5.0,1.36,3.0,1.03,13.0,1.25,3.75,1.93,1.93,1.95,1.8,1.12,1.18,2.45,0.88,0.43,1.38,0.76,2.14,1.28,8.0,3.95,1.16,4.4,1.29,3.2,1.47,2.43,1.75,1.95,2.14,1.62
England EFL League One,2024-12-14,12:00:00,20,Exeter City,Barnsley,3.75,2.25,2.75,3.0,3.5,2.15,1.36,3.0,1.05,9.5,1.25,3.7,1.75,1.95,1.67,2.1,1.65,1.25,1.35,1.56,1.78,1.22,1.22,2.44,2.0,6.75,1.94,1.17,4.35,1.3,3.15,1.5,2.38,1.79,1.9,2.18,1.58
England EFL League One,2024-12-14,12:00:00,20,Huddersfield Town,Lincoln City,2.5,2.1,5.0,1.8,3.4,4.33,1.44,2.63,1.05,9.0,1.33,3.2,2.05,1.8,1.95,1.8,1.2,1.22,1.95,2.33,1.3,1.43,1.1,2.53,1.48,7.0,2.9,1.19,4.1,1.34,2.9,1.56,2.23,1.89,1.8,2.33,1.52
England EFL League One,2024-12-14,12:00:00,20,Peterborough United,Crawley Town,2.1,2.5,4.75,1.55,4.0,5.25,1.25,3.75,1.01,13.0,1.18,4.75,1.5,2.4,1.57,2.25,1.14,1.18,2.38,1.4,0.89,1.25,1.36,2.61,1.44,7.5,3.05,1.16,4.4,1.29,3.2,1.48,2.43,1.76,1.94,2.15,1.61
England EFL League One,2024-12-14,12:00:00,20,Charlton Athletic,Mansfield Town,2.63,2.1,4.33,2.0,3.4,3.6,1.4,2.75,1.05,9.0,1.3,3.35,1.95,1.8,1.8,1.95,1.28,1.25,1.77,1.5,1.5,1.36,1.11,2.47,1.74,6.75,2.32,1.26,3.4,1.47,2.48,1.75,1.95,2.18,1.58,2.8,1.37
England EFL League One,2024-12-14,12:00:00,20,Reading,Blackpool,2.88,2.3,3.4,2.4,3.5,2.7,1.3,3.4,1.04,10.0,1.2,4.33,1.7,2.02,1.53,2.38,1.42,1.25,1.55,2.63,1.3,1.39,1.26,2.65,1.95,6.75,2.0,1.23,3.65,1.41,2.65,1.66,2.07,2.02,1.68,2.55,1.43
England EFL League One,2024-12-14,12:00:00,20,Rotherham United,Northampton Town,2.25,2.2,5.5,1.6,4.0,4.75,1.4,2.75,1.05,9.5,1.3,3.45,1.98,1.88,1.95,1.8,1.17,1.18,2.25,1.75,0.7,1.55,1.01,2.56,1.42,7.0,3.15,1.28,3.3,1.48,2.45,1.76,1.94,2.18,1.58,2.75,1.38
England EFL League One,2024-12-14,12:00:00,20,Shrewsbury Town,Wycombe Wanderers,5.0,2.25,2.3,4.6,3.8,1.67,1.36,3.0,1.05,9.5,1.25,3.75,1.75,1.95,1.75,2.0,2.1,1.22,1.17,0.78,2.1,1.0,1.49,2.49,2.6,6.75,1.58,1.21,3.8,1.37,2.8,1.61,2.15,1.96,1.73,2.45,1.48
England EFL League One,2024-12-14,12:00:00,20,Stevenage,Stockport County,3.75,2.0,3.2,3.0,2.9,2.4,1.5,2.5,1.07,8.0,1.42,2.8,2.25,1.6,1.95,1.8,1.57,1.28,1.36,1.7,1.44,1.15,1.33,2.48,1.97,6.4,2.02,1.27,3.3,1.47,2.48,1.74,1.96,2.15,1.61,2.7,1.38
Spain Segunda División,2024-12-14,12:15:00,19,Cádiz,Albacete Balompié,2.88,2.1,4.0,2.05,3.3,3.3,1.4,2.75,1.06,8.5,1.33,3.2,2.03,1.83,1.8,1.91,1.33,1.25,1.68,1.0,1.22,1.46,1.31,2.77,1.64,6.5,2.55,1.4,2.65,1.68,2.02,2.1,1.62,2.65,1.4,3.55,1.23
