League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Portugal LigaPro,2024-12-14,08:00:00,14,União de Leiria,Paços de Ferreira,2.75,2.0,4.0,2.05,3.2,3.4,1.46,2.55,1.05,8.0,1.36,3.0,2.05,1.65,1.85,1.9,1.28,1.25,1.72,1.33,1.17,1.47,1.25,2.72,1.83,8.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-12-14,09:00:00,19,Tekstilac Odžaci,Mladost Lučani,0.0,0.0,0.0,3.0,3.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.72,0.0,0.0,0.0,0.0,0.0,1.22,2.11,1.18,0.7,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2024-12-14,09:00:00,16,Schalke 04,Fortuna Düsseldorf,3.1,2.2,3.0,2.6,3.4,2.6,1.33,3.05,1.04,10.0,1.22,4.0,1.65,2.05,1.55,2.35,1.5,1.25,1.47,1.0,2.29,1.49,1.38,2.87,1.98,6.75,1.98,1.21,3.8,1.36,2.8,1.6,2.17,1.95,1.74,2.4,1.49
Germany 2. Bundesliga,2024-12-14,09:00:00,16,Magdeburg,Paderborn,3.1,2.2,3.0,2.6,3.6,2.5,1.3,3.25,1.04,10.0,1.2,4.33,1.57,2.15,1.52,2.45,1.53,1.22,1.47,0.71,1.63,1.64,1.34,2.98,2.02,6.75,1.98,1.19,4.1,1.34,2.9,1.56,2.23,1.91,1.78,2.33,1.5
Germany 2. Bundesliga,2024-12-14,09:00:00,16,Ulm,Hamburger SV,4.0,2.25,2.4,4.0,3.75,1.83,1.32,3.15,1.04,10.0,1.22,4.0,1.6,2.1,1.62,2.2,1.9,1.2,1.2,0.71,1.43,1.46,1.53,2.99,2.75,7.0,1.54,1.18,4.0,1.34,2.9,1.56,2.23,1.89,1.8,2.33,1.52
England Championship,2024-12-14,09:30:00,21,Bristol City,Queens Park Rangers,2.5,2.1,4.75,1.8,3.4,4.4,1.44,2.63,1.06,10.0,1.36,3.2,2.0,1.73,1.91,1.8,1.22,1.25,2.0,1.44,1.11,1.43,0.86,2.29,1.47,7.5,2.95,1.1,5.65,1.25,3.63,1.47,2.6,1.79,2.02,2.21,1.66
Czech Republic First League,2024-12-14,09:30:00,19,Dukla Praha,Hradec Králové,4.33,2.1,2.75,3.9,3.2,2.0,1.44,2.63,1.06,8.0,1.33,3.1,2.08,1.73,1.91,1.91,1.8,1.25,1.25,1.11,0.89,1.22,1.25,2.47,2.41,8.5,1.75,0.0,0.0,0.0,0.0,1.58,2.29,1.95,1.77,2.44,1.52
England EFL League Two,2024-12-14,09:30:00,20,Tranmere Rovers,Harrogate Town,2.38,2.1,5.0,1.91,3.3,4.2,1.44,2.63,1.06,8.5,1.35,3.1,1.95,1.8,1.91,1.8,1.17,1.22,2.05,1.11,1.0,1.41,1.02,2.43,1.34,9.5,3.86,1.17,4.7,1.27,3.4,1.5,2.43,1.9,1.9,2.4,1.5
England EFL League One,2024-12-14,09:30:00,20,Bolton Wanderers,Wigan Athletic,2.3,2.2,5.0,1.65,3.75,4.75,1.4,2.75,1.04,12.0,1.3,3.5,1.88,1.98,1.95,1.8,1.17,1.2,2.2,1.89,1.0,1.7,1.05,2.75,1.41,7.0,3.15,1.2,3.9,1.37,2.8,1.61,2.15,1.97,1.72,2.43,1.48
England EFL League Two,2024-12-14,09:30:00,20,Salford City,Notts County,3.1,2.1,3.6,2.7,3.2,2.63,1.44,2.63,1.06,8.5,1.3,3.45,1.95,1.75,1.8,1.91,1.45,1.25,1.5,1.67,1.4,1.41,1.23,2.64,1.85,8.0,2.28,1.2,4.2,1.33,3.05,1.58,2.2,2.0,1.72,2.65,1.42
England Championship,2024-12-14,09:30:00,21,Preston North End,Leeds United,5.5,2.2,2.25,5.5,3.6,1.62,1.4,2.75,1.05,11.0,1.33,3.4,2.0,1.85,1.91,1.8,2.35,1.2,1.15,1.4,1.44,1.26,1.47,2.73,2.95,6.75,1.47,1.25,3.6,1.5,2.54,1.82,1.98,2.31,1.6,3.07,1.34
Romania Liga I,2024-12-14,09:30:00,20,Oţelul Galaţi,UTA Arad,2.75,2.05,4.33,2.1,3.0,3.6,1.44,2.63,1.09,6.5,1.48,2.37,2.55,1.49,1.91,1.8,1.19,1.29,1.66,1.11,1.0,1.39,1.24,2.63,1.65,6.1,2.55,1.52,2.28,1.88,1.78,2.43,1.46,3.15,1.29,4.35,1.16
England EFL League One,2024-12-14,09:30:00,20,Leyton Orient,Burton Albion,2.2,2.2,6.0,1.57,3.8,5.6,1.44,2.63,1.05,9.0,1.33,3.25,2.03,1.83,2.05,1.7,1.15,1.2,2.2,1.22,0.75,1.48,1.21,2.69,1.41,7.0,3.3,1.3,3.05,1.53,2.32,1.86,1.82,2.33,1.52,3.0,1.33
England Championship,2024-12-14,09:30:00,21,Coventry City,Hull City,2.5,2.2,4.5,1.83,3.5,4.2,1.36,3.0,1.05,9.0,1.28,3.5,1.85,2.0,1.73,2.0,1.2,1.25,1.93,1.22,0.89,1.9,1.36,3.26,1.65,7.0,2.43,1.08,5.88,1.23,3.76,1.45,2.67,1.76,2.07,2.16,1.69
Portugal LigaPro,2024-12-14,09:45:00,14,Alverca,GD Chaves,3.52,2.02,3.08,2.7,3.2,2.4,1.46,2.6,1.02,7.3,1.32,2.78,2.15,1.57,1.85,1.85,1.52,1.32,1.4,1.5,1.86,1.6,1.4,3.0,2.1,8.0,1.91,1.15,4.2,1.32,2.88,1.6,2.14,2.02,1.71,2.6,1.41
Spain Segunda División,2024-12-14,10:00:00,19,Levante UD,Córdoba,2.38,2.3,4.5,1.8,3.6,4.0,1.33,3.25,1.05,9.5,1.22,4.0,1.73,1.95,1.67,2.1,1.18,1.2,2.0,2.25,0.11,1.61,1.29,2.9,1.58,6.75,2.65,1.32,3.0,1.56,2.23,1.89,1.77,2.4,1.48,3.1,1.3
Turkey Süper Lig,2024-12-14,10:00:00,16,Rizespor,Konyaspor,2.95,2.05,3.4,2.46,3.64,2.61,1.4,2.75,1.05,9.0,1.3,3.45,1.69,2.12,1.8,1.91,1.4,1.25,1.55,1.43,1.13,1.31,1.22,2.53,1.61,6.5,2.55,1.37,2.8,1.63,2.12,1.95,1.7,2.55,1.43,3.3,1.27
Spain La Liga,2024-12-14,10:00:00,17,RCD Espanyol,CA Osasuna,3.5,2.0,3.4,2.82,3.17,2.76,1.5,2.5,1.08,8.5,1.42,2.9,2.3,1.62,1.95,1.8,1.5,1.32,1.45,1.71,0.86,1.12,0.74,1.86,2.0,6.75,1.97,1.26,3.4,1.47,2.48,1.74,1.95,2.17,1.6,2.7,1.4
France Ligue 2,2024-12-14,10:00:00,16,Red Star,Grenoble Foot 38,3.2,2.0,3.4,2.45,3.2,2.7,1.44,2.6,1.07,8.0,1.36,3.0,2.0,1.65,1.83,1.9,1.44,1.28,1.5,1.14,0.57,1.16,1.23,2.39,1.94,6.4,2.07,1.34,2.9,1.58,2.18,1.97,1.74,2.48,1.47,3.2,1.28
