League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2024-12-02,12:30:00,18,Universitatea Cluj,UTA Arad,2.38,2.1,5.5,1.79,3.4,4.3,1.44,2.63,0.0,0.0,0.0,0.0,2.2,1.63,2.1,1.67,0.0,0.0,0.0,2.0,0.75,1.39,1.28,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-12-02,14:00:00,14,Hatayspor,Beşiktaş,4.33,2.3,2.4,4.1,3.7,1.81,1.33,3.25,1.04,15.0,1.21,4.22,1.72,2.13,1.67,2.1,2.05,1.3,1.28,0.83,1.5,1.08,1.3,2.38,2.7,6.4,1.49,1.37,2.8,1.64,2.1,2.02,1.68,2.55,1.44,3.4,1.26
Turkey Süper Lig,2024-12-02,14:00:00,14,Fenerbahçe,Gazişehir Gaziantep,1.67,2.88,8.0,1.23,6.4,10.0,1.22,4.0,1.01,26.0,1.1,6.6,1.36,2.9,1.83,1.83,1.06,1.14,4.33,2.4,0.67,2.0,1.17,3.17,1.18,8.0,4.6,1.32,3.05,1.54,2.3,1.88,1.81,2.33,1.52,3.05,1.32
Denmark Superliga,2024-12-02,15:00:00,17,København,Nordsjælland,2.6,2.3,4.0,1.9,3.4,3.55,1.33,3.25,1.03,12.5,1.25,3.95,1.76,2.06,1.62,2.2,1.32,1.25,1.8,2.25,1.0,2.05,1.66,3.71,1.74,6.25,2.2,1.24,3.55,1.41,2.65,2.2,1.95,2.07,1.66,2.65,1.41
Poland Ekstraklasa,2024-12-02,15:00:00,17,Motor Lublin,Radomiak Radom,2.88,2.2,3.5,2.2,3.1,3.0,1.36,3.0,1.05,9.0,1.25,3.6,1.85,1.95,1.62,2.2,1.38,1.25,1.6,1.38,0.86,1.63,1.37,3.0,1.68,6.75,2.23,1.17,4.1,1.32,2.9,2.1,2.23,2.05,1.7,2.3,1.5
Romania Liga I,2024-12-02,15:30:00,18,Oţelul Galaţi,FCSB,4.75,1.95,2.75,3.25,3.05,2.2,1.53,2.38,0.0,0.0,0.0,0.0,2.2,1.63,2.1,1.67,0.0,0.0,0.0,1.25,1.5,1.39,1.41,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal Liga NOS,2024-12-02,15:45:00,12,Vitória Guimarães,Gil Vicente,2.3,2.1,5.5,1.72,3.74,4.9,1.44,2.63,1.06,10.0,1.36,3.2,2.0,1.73,2.0,1.75,1.17,1.22,2.15,2.0,0.33,1.2,0.99,2.19,1.4,7.0,3.05,1.23,3.55,1.42,2.55,1.7,2.05,2.08,1.63,2.65,1.4
Netherlands Eerste Divisie,2024-12-02,16:00:00,17,AZ II,MVV,2.5,2.5,3.6,2.01,3.64,3.51,1.22,3.9,1.01,17.0,1.12,6.0,1.55,2.32,1.4,2.85,1.35,1.2,1.83,1.0,0.5,1.87,1.2,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain Segunda División,2024-12-02,16:30:00,17,SD Eibar,FC Cartagena,2.2,2.1,7.0,1.49,4.2,5.3,1.5,2.5,1.07,8.0,1.42,2.8,2.4,1.5,2.38,1.53,1.11,1.2,2.4,2.0,0.75,1.45,0.91,2.36,1.41,6.75,3.05,1.45,2.48,1.77,1.89,2.23,1.56,2.9,1.34,3.9,1.19
Italy Serie A,2024-12-02,16:45:00,14,Roma,Atalanta,3.6,2.2,2.88,3.02,3.81,2.37,1.36,3.0,1.04,13.0,1.28,3.75,1.61,2.15,1.67,2.1,1.65,1.26,1.4,1.5,1.86,1.59,1.72,3.31,2.32,6.3,2.01,1.41,2.52,1.78,1.93,2.26,1.51,3.02,1.27,4.33,1.13
