League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
France Ligue 2,2025-01-10,16:00:00,18,Annecy,Guingamp,3.3,2.05,3.1,0.0,0.0,0.0,1.43,2.65,1.07,8.0,1.33,3.1,2.0,1.75,1.78,1.95,1.5,1.28,1.45,2.38,1.13,1.45,1.38,2.83,2.08,6.4,1.9,1.44,2.55,1.73,1.98,2.15,1.61,2.8,1.37,3.7,1.23
France Ligue 2,2025-01-10,16:00:00,18,Pau,Dunkerque,2.8,2.1,3.6,0.0,0.0,0.0,1.4,2.75,1.06,8.5,1.3,3.3,1.93,1.93,1.72,2.05,1.35,1.25,1.66,2.13,1.0,1.52,1.24,2.76,1.74,6.4,2.32,1.43,2.6,1.72,1.98,2.15,1.61,2.8,1.38,3.65,1.23
France Ligue 2,2025-01-10,16:00:00,18,Laval,Red Star,2.55,2.05,4.2,1.95,3.25,4.0,1.42,2.62,1.07,8.0,1.35,3.1,2.0,1.75,1.83,1.85,1.25,1.25,1.77,1.75,1.11,1.25,1.25,2.5,1.68,6.4,2.48,1.35,2.88,1.6,2.17,1.97,1.74,2.5,1.46,3.2,1.28
France Ligue 2,2025-01-10,16:00:00,18,Rodez,Troyes,2.7,2.1,3.7,2.05,3.4,3.5,1.38,2.8,1.05,9.0,1.28,3.55,1.88,1.98,1.67,2.05,1.33,1.25,1.67,1.25,1.11,1.86,1.27,3.13,1.8,6.5,2.2,1.29,3.15,1.5,2.33,1.83,1.85,2.3,1.53,2.95,1.33
Spain Segunda División,2025-01-10,16:30:00,22,Granada CF,Burgos CF,2.5,2.1,5.0,1.75,3.4,4.5,1.44,2.63,1.06,8.5,1.36,3.0,2.2,1.63,2.0,1.73,1.16,1.22,2.0,1.64,0.8,1.73,1.22,2.95,1.53,6.5,2.8,1.4,2.63,1.7,2.0,2.12,1.61,2.7,1.38,3.65,1.22
Germany Bundesliga,2025-01-10,16:30:00,16,Borussia Dortmund,Bayer Leverkusen,3.2,2.38,2.88,2.63,3.6,2.5,1.29,3.5,1.02,17.0,1.18,5.0,1.58,2.4,1.5,2.5,1.51,1.28,1.46,2.5,2.14,1.63,1.51,3.14,2.15,6.4,1.86,1.3,3.05,1.55,2.28,1.9,1.79,2.4,1.49,3.15,1.3
Italy Serie A,2025-01-10,16:45:00,20,Lazio,Como,2.4,2.1,5.0,1.65,3.75,5.0,1.44,2.63,1.06,10.0,1.35,3.25,2.1,1.75,2.0,1.75,1.2,1.28,1.98,2.22,0.6,1.47,1.31,2.78,1.47,6.75,3.05,1.35,2.9,1.6,2.17,1.96,1.73,2.48,1.47,3.2,1.28
Belgium Pro League,2025-01-10,16:45:00,21,Standard Liège,KV Kortrijk,2.5,2.1,4.1,1.91,3.4,3.8,1.39,2.75,1.04,9.45,1.32,3.26,2.03,1.83,1.82,1.87,1.25,1.28,1.83,1.8,0.5,1.18,1.07,2.25,1.68,6.75,2.4,1.27,3.3,1.48,2.43,1.77,1.93,2.18,1.58,2.8,1.38
Spain La Liga,2025-01-10,17:00:00,19,Rayo Vallecano,Celta de Vigo,3.25,2.0,3.6,2.6,3.0,2.9,1.5,2.5,1.09,8.0,1.42,2.9,2.2,1.67,1.91,1.91,1.47,1.36,1.41,1.13,0.5,1.61,1.26,2.87,1.64,6.75,2.55,1.3,3.15,1.52,2.33,1.84,1.84,2.32,1.53,2.95,1.33
France Ligue 1,2025-01-10,17:00:00,17,Auxerre,Lille,4.0,2.25,2.5,3.8,3.6,1.95,1.33,3.25,1.04,13.0,1.26,4.0,1.8,2.05,1.67,2.1,1.82,1.28,1.26,2.13,1.63,1.33,1.47,2.8,2.4,6.4,1.71,1.44,2.55,1.72,1.98,2.17,1.6,2.8,1.36,3.8,1.21
