League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
France Ligue 1,2025-01-10,15:00:00,17,Nantes,Monaco,4.33,2.2,2.5,4.33,3.6,1.83,1.4,2.75,1.05,12.0,1.3,3.6,1.85,2.05,1.8,1.95,1.9,1.27,1.23,1.14,1.86,1.45,1.45,2.9,2.35,6.4,1.73,1.34,2.9,1.6,2.17,1.97,1.73,2.5,1.46,3.3,1.27
Netherlands Eerste Divisie,2025-01-10,16:00:00,21,Eindhoven,Volendam,3.75,2.4,2.5,3.4,3.8,1.95,1.29,3.5,1.02,17.0,1.17,5.0,1.57,2.35,1.5,2.5,1.83,1.2,1.33,1.0,1.6,1.4,1.5,2.9,2.4,6.4,1.7,1.3,3.05,1.54,2.3,1.88,1.81,2.35,1.5,3.05,1.3
Netherlands Eerste Divisie,2025-01-10,16:00:00,21,De Graafschap,ADO Den Haag,2.88,2.38,3.2,2.3,3.9,2.7,1.29,3.5,1.01,19.0,1.17,5.0,1.57,2.35,1.5,2.5,1.44,1.2,1.65,2.2,1.11,1.66,1.6,3.26,1.9,6.4,2.08,1.3,3.05,1.53,2.3,1.86,1.82,2.35,1.5,3.05,1.32
Netherlands Eerste Divisie,2025-01-10,16:00:00,21,Excelsior,Dordrecht,2.0,2.6,5.0,1.5,4.2,5.75,1.25,3.75,1.01,19.0,1.12,6.0,1.44,2.7,1.53,2.38,1.15,1.15,2.6,2.44,1.6,1.76,1.35,3.11,1.46,6.75,3.05,1.28,3.3,1.49,2.4,1.79,1.9,2.23,1.57,2.8,1.36
Netherlands Eerste Divisie,2025-01-10,16:00:00,21,Den Bosch,Utrecht II,2.2,2.38,5.0,1.62,3.9,5.25,1.33,3.25,1.02,17.0,1.2,4.33,1.67,2.15,1.67,2.1,1.16,1.18,2.35,1.6,0.56,1.74,1.21,2.95,1.5,6.75,2.9,1.36,2.8,1.61,2.15,1.98,1.73,2.5,1.46,3.25,1.28
Netherlands Eerste Divisie,2025-01-10,16:00:00,21,Oss,MVV,3.0,2.38,3.1,2.55,3.5,2.6,1.3,3.4,1.02,17.0,1.18,4.75,1.6,2.3,1.5,2.5,1.5,1.25,1.53,1.7,0.7,1.33,1.17,2.5,1.95,6.4,2.05,1.32,3.05,1.56,2.23,1.92,1.77,2.43,1.49,3.15,1.3
Netherlands Eredivisie,2025-01-10,16:00:00,18,Fortuna Sittard,Go Ahead Eagles,3.5,2.2,3.0,2.88,3.4,2.3,1.36,3.0,1.05,12.0,1.28,3.52,1.85,2.0,1.67,2.1,1.57,1.3,1.4,1.88,1.0,1.32,1.08,2.4,1.97,6.4,2.02,1.24,3.55,1.41,2.63,1.68,2.02,2.08,1.65,2.65,1.41
Netherlands Eerste Divisie,2025-01-10,16:00:00,21,Roda JC,Cambuur,3.1,2.3,3.1,2.55,3.5,2.55,1.33,3.25,1.02,15.0,1.2,4.33,1.67,2.15,1.53,2.38,1.52,1.22,1.53,1.89,2.2,1.9,1.89,3.79,1.95,6.4,2.05,1.34,2.9,1.57,2.23,1.95,1.74,2.45,1.48,3.15,1.29
France Ligue 2,2025-01-10,16:00:00,18,Martigues,Clermont,4.5,2.05,2.45,4.0,3.3,1.91,1.45,2.55,1.07,8.0,1.38,3.0,2.1,1.7,1.9,1.77,1.93,1.25,1.2,0.11,1.25,1.0,1.25,2.25,2.6,6.5,1.58,1.34,2.9,1.58,2.2,1.97,1.74,2.48,1.47,3.15,1.3
France Ligue 2,2025-01-10,16:00:00,18,Bastia,Ajaccio,2.3,1.95,5.75,1.67,3.4,5.5,1.55,2.3,1.1,6.5,1.5,2.4,2.5,1.48,2.38,1.5,1.12,1.25,2.15,1.75,0.13,1.68,1.05,2.73,1.49,6.75,2.9,1.42,2.65,1.71,2.0,2.12,1.63,2.7,1.4,3.65,1.24
