League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Portugal LigaPro,2024-12-21,08:00:00,15,FC Vizela,Porto II,2.49,2.14,4.25,1.91,3.4,3.4,1.37,2.95,1.01,8.9,1.24,3.36,1.85,1.85,1.74,1.98,1.26,1.27,1.82,0.83,0.43,1.55,1.55,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-12-21,09:00:00,20,IMT Novi Beograd,Železničar Pančevo,3.0,2.1,3.4,6.25,8.35,1.2,1.4,2.75,1.06,8.0,1.31,3.25,1.95,1.77,1.8,1.91,1.37,1.29,1.48,1.38,1.33,1.27,1.19,2.46,1.75,8.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2024-12-21,09:00:00,17,Hamburger SV,Greuther Fürth,2.0,2.5,4.5,1.53,4.2,4.4,1.22,3.7,1.01,17.0,1.14,5.5,1.44,2.6,1.48,2.4,1.17,1.15,2.35,1.75,1.29,1.74,1.31,3.05,1.49,6.75,2.9,1.3,3.15,1.5,2.38,1.81,1.88,2.25,1.55,2.9,1.34
Germany 2. Bundesliga,2024-12-21,09:00:00,17,Paderborn,Karlsruher SC,2.6,2.3,3.4,2.0,3.7,2.9,1.27,3.45,1.04,10.0,1.18,4.75,1.53,2.35,1.47,2.55,1.35,1.2,1.72,2.0,1.5,1.42,1.18,2.6,1.78,6.4,2.23,1.3,3.05,1.54,2.3,1.88,1.81,2.38,1.5,3.05,1.3
Germany 2. Bundesliga,2024-12-21,09:00:00,17,Preußen Münster,Ulm,2.85,2.05,3.75,1.91,3.4,3.4,1.44,2.6,1.06,8.5,1.33,3.1,1.8,1.91,1.8,1.95,1.3,1.28,1.66,0.75,0.88,1.2,0.94,2.14,1.74,6.4,2.33,1.47,2.48,1.78,1.91,2.23,1.56,2.9,1.34,3.9,1.2
England Championship,2024-12-21,09:30:00,22,Hull City,Swansea City,3.2,2.1,3.4,2.4,3.3,2.87,1.4,2.75,1.06,8.5,1.33,3.25,2.05,1.7,1.73,2.0,1.42,1.28,1.5,0.73,1.27,1.34,1.11,2.45,1.74,6.75,2.3,1.14,4.78,1.32,3.17,1.59,2.34,1.95,1.85,2.45,1.53
England Premier League,2024-12-21,09:30:00,17,Aston Villa,Manchester City,3.6,2.38,2.63,4.4,4.0,1.7,1.29,3.5,1.03,16.0,1.18,5.1,1.53,2.45,1.5,2.5,1.72,1.28,1.37,1.88,1.38,1.54,1.85,3.39,2.63,6.75,1.58,1.2,3.9,1.36,2.8,1.6,2.17,1.95,1.75,2.43,1.48
England EFL League Two,2024-12-21,09:30:00,21,Barrow,Fleetwood Town,3.0,2.1,3.6,2.37,3.4,2.8,1.4,2.75,1.05,9.5,1.28,3.55,1.91,1.8,1.8,1.91,1.42,1.25,1.55,1.67,1.38,1.41,1.18,2.59,1.82,8.0,2.33,1.23,3.92,1.42,2.73,1.69,2.09,2.11,1.68,2.72,1.43
England EFL League Two,2024-12-21,09:30:00,21,Doncaster Rovers,Tranmere Rovers,2.2,2.25,5.5,1.61,4.0,5.0,1.4,2.75,1.05,9.5,1.28,3.55,1.85,1.85,1.91,1.8,1.15,1.2,2.25,1.6,0.89,1.36,1.2,2.56,1.51,8.5,3.07,1.18,4.5,1.34,3.1,1.58,2.29,2.0,1.8,2.44,1.52
England Championship,2024-12-21,09:30:00,22,Sheffield Wednesday,Stoke City,2.5,2.2,4.33,1.91,3.6,3.9,1.4,2.75,1.05,9.0,1.3,3.45,1.95,1.75,1.73,2.0,1.22,1.25,1.85,1.18,0.8,1.45,1.17,2.62,1.42,7.5,3.15,1.13,4.99,1.3,3.28,1.55,2.4,1.9,1.9,2.38,1.56
