League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
South Korea K League 2,2024-11-21,07:00:00,0,Jeonnam Dragons,Busan I'Park,3.25,2.15,2.9,2.8,3.3,2.3,1.33,3.0,1.0,8.3,1.22,4.25,1.68,2.06,1.57,2.3,1.55,1.25,1.42,1.58,1.56,1.52,1.61,3.13,2.1,7.5,1.95,0.0,0.0,1.82,1.98,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-21,15:00:00,4,Botoşani,FCSB,4.33,2.15,2.35,4.5,3.35,1.67,1.4,2.75,1.01,9.7,1.25,3.6,2.1,1.65,1.75,2.0,1.95,1.22,1.17,1.17,1.71,1.77,1.34,3.11,2.39,8.0,1.82,1.24,3.48,1.44,2.5,1.8,1.9,2.28,1.53,3.08,1.3
Argentina Primera División,2024-11-21,17:00:00,23,Barracas Central,Belgrano,4.5,1.91,3.0,3.75,3.2,2.15,1.62,2.2,1.06,6.0,1.53,2.39,2.7,1.44,2.2,1.62,1.7,1.33,1.28,0.73,1.36,1.13,1.22,2.35,2.33,6.1,1.67,1.46,2.5,1.76,1.93,2.23,1.57,2.9,1.35,3.8,1.21
Argentina Primera División,2024-11-21,19:15:00,23,Independiente,Gimnasia La Plata,2.75,1.91,5.5,1.91,3.2,4.75,1.62,2.2,1.11,6.28,1.53,2.4,2.7,1.44,2.25,1.57,1.2,1.3,1.92,1.36,1.32,1.17,1.43,2.6,1.57,6.4,2.5,1.43,2.55,1.72,1.98,2.17,1.6,2.8,1.37,3.7,1.21
Argentina Primera División,2024-11-21,19:15:00,23,Talleres Córdoba,Sarmiento,2.3,2.0,7.0,1.6,3.75,6.0,1.57,2.25,1.09,6.83,1.5,2.49,2.5,1.5,2.5,1.5,1.12,1.25,2.3,1.64,1.0,1.37,1.14,2.51,1.44,6.25,2.95,1.44,2.55,1.74,1.96,2.18,1.58,2.8,1.36,3.8,1.21
Brazil Serie A,2024-11-21,20:00:00,34,Vasco da Gama,Internacional,4.0,2.0,3.0,2.8,3.05,2.8,1.5,2.5,1.08,8.5,1.42,2.85,2.25,1.62,1.95,1.8,1.68,1.3,1.3,1.94,1.5,1.34,1.29,2.63,2.44,8.0,1.75,1.32,3.2,1.57,2.3,1.91,1.8,2.5,1.5,3.35,1.3
