League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2024-12-13,12:00:00,20,Botoşani,Hermannstadt,3.25,1.95,3.75,2.32,3.16,3.15,1.53,2.38,0.0,0.0,0.0,0.0,2.2,1.57,2.0,1.73,1.31,1.31,1.44,1.33,0.44,1.64,1.35,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-12-13,14:00:00,16,Kasımpaşa,Eyüpspor,2.63,2.2,3.6,2.13,3.59,3.17,1.32,3.28,1.05,13.0,1.22,4.12,1.72,2.07,1.57,2.38,1.36,1.32,1.75,0.43,1.25,1.4,1.07,2.47,1.79,6.4,2.23,1.38,2.75,1.65,2.08,2.02,1.68,2.6,1.43,3.4,1.26
Croatia Prva HNL,2024-12-13,14:00:00,17,Slaven Koprivnica,Gorica,2.38,2.2,5.0,1.7,3.6,4.5,1.4,2.75,1.03,9.0,1.3,3.3,1.95,1.85,1.83,1.83,1.15,1.22,2.05,1.25,0.0,1.53,0.95,2.48,1.41,9.0,3.58,1.4,2.82,1.68,2.12,2.11,1.68,2.75,1.42,3.55,1.24
Turkey Süper Lig,2024-12-13,14:00:00,16,BB Bodrumspor,Sivasspor,2.95,2.05,4.0,2.18,3.26,3.36,1.52,2.7,1.05,8.7,1.38,2.96,2.16,1.66,1.9,1.9,1.35,1.36,1.72,1.0,1.0,1.3,1.1,2.4,1.52,6.75,2.8,1.36,2.8,1.63,2.12,2.02,1.7,2.55,1.44,3.4,1.26
Germany 2. Bundesliga,2024-12-13,14:30:00,16,Karlsruher SC,Jahn Regensburg,1.87,2.55,5.5,1.38,4.3,5.9,1.25,3.6,1.01,13.0,1.17,5.0,1.5,2.43,1.72,2.05,1.06,1.12,2.9,1.57,0.14,1.55,1.13,2.68,1.36,7.0,3.45,1.33,2.95,1.57,2.23,1.92,1.77,2.43,1.48,3.15,1.3
Germany 2. Bundesliga,2024-12-13,14:30:00,16,Hertha BSC,Preußen Münster,2.1,2.4,4.5,1.6,3.9,4.5,1.27,3.45,1.03,11.0,1.17,4.75,1.55,2.25,1.6,2.25,1.15,1.17,2.2,1.0,0.86,1.37,1.28,2.65,1.54,6.75,2.7,1.33,2.95,1.55,2.25,1.9,1.79,2.4,1.5,3.15,1.3
Romania Liga I,2024-12-13,15:00:00,20,Dinamo Bucureşti,CSM Iaşi,2.6,2.05,5.0,1.87,3.4,4.23,1.5,2.5,0.0,0.0,0.0,0.0,2.05,1.68,2.0,1.73,1.16,1.25,1.78,2.0,0.56,1.16,1.41,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2024-12-13,15:30:00,18,FC Schaffhausen,Stade Nyonnais,2.4,2.25,4.0,1.93,3.5,3.2,1.31,3.26,1.01,11.0,1.21,4.1,1.66,2.05,1.62,2.2,1.24,1.23,1.66,0.71,0.63,1.62,1.37,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2024-12-13,15:30:00,18,Stade Lausanne-Ouchy,Thun,3.25,2.25,2.75,2.7,3.5,2.16,1.33,3.12,1.0,8.3,1.22,4.0,1.68,2.05,1.57,2.25,1.52,1.25,1.32,1.25,1.88,1.73,1.83,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-13,16:00:00,19,Roda JC,Dordrecht,2.38,2.5,3.75,1.83,4.5,3.4,1.25,3.75,0.0,0.0,0.0,0.0,1.44,2.7,1.44,2.63,0.0,0.0,0.0,2.13,1.44,1.89,1.42,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
