League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Uruguay Primera División,2024-11-27,09:45:00,0,Fénix,Deportivo Maldonado,2.63,1.91,4.5,1.91,3.3,3.4,1.46,2.68,1.06,7.5,1.36,2.88,2.1,1.6,2.0,1.73,1.23,1.29,1.77,1.0,0.83,1.4,1.29,2.69,1.5,8.5,3.1,1.35,2.97,1.61,2.18,2.05,1.7,2.62,1.43,3.52,1.25
Czech Republic First League,2024-11-27,13:00:00,15,Sigma Olomouc,Slovácko,2.88,2.0,3.6,2.05,3.1,3.2,1.4,2.94,1.03,9.0,1.29,3.3,1.95,1.73,1.73,2.1,1.34,1.3,1.63,1.57,1.17,1.57,1.04,2.61,1.5,9.0,2.8,0.0,0.0,1.2,3.54,1.4,2.56,1.77,1.95,2.12,1.58
Spain Segunda División,2024-11-27,15:00:00,13,Levante UD,Málaga CF,2.3,2.05,5.0,1.95,3.2,3.4,1.42,2.62,1.01,7.7,1.36,3.17,1.8,1.83,1.95,1.73,1.15,1.22,2.1,2.0,1.0,1.58,1.06,2.64,1.41,8.5,3.5,1.31,3.15,1.55,2.29,1.92,1.79,2.47,1.48,3.3,1.29
Spain Segunda División,2024-11-27,15:00:00,13,CD Castellón,Racing Club de Ferrol,2.15,2.25,4.75,1.55,3.75,5.0,1.36,2.9,1.05,9.5,1.28,3.65,1.75,1.85,1.85,1.83,1.15,1.2,2.25,1.0,0.83,1.6,0.86,2.46,1.58,8.35,2.89,1.37,2.83,1.65,2.1,2.08,1.67,2.73,1.4,3.7,1.23
Uruguay Primera División,2024-11-27,16:30:00,0,Danubio,Nacional,0.0,0.0,0.0,5.75,4.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,1.95,1.73,0.0,0.0,0.0,0.0,0.0,1.59,2.18,1.17,1.56,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2024-11-27,16:45:00,17,Leeds United,Luton Town,2.0,2.25,7.0,1.48,4.2,7.0,1.4,2.75,1.05,11.0,1.33,3.4,1.95,1.8,2.1,1.67,1.09,1.19,2.75,2.38,0.57,1.86,1.2,3.06,1.4,7.0,3.3,1.13,4.88,1.31,3.22,1.57,2.37,1.92,1.88,2.42,1.55
England Championship,2024-11-27,16:45:00,17,Cardiff City,Queens Park Rangers,2.6,2.1,4.75,2.0,3.4,3.75,1.44,2.63,1.07,10.0,1.38,3.1,2.1,1.7,1.91,1.8,1.26,1.26,1.87,1.5,0.86,1.58,0.79,2.37,1.49,7.0,2.9,1.18,4.24,1.38,2.88,1.68,2.17,2.08,1.75,2.67,1.45
England Championship,2024-11-27,16:45:00,17,Middlesbrough,Blackburn Rovers,2.1,2.3,6.0,1.53,4.2,6.0,1.36,3.0,1.04,13.0,1.28,3.75,1.8,1.91,1.83,1.83,1.12,1.19,2.6,1.75,0.86,1.65,1.06,2.71,1.2,9.0,4.8,1.13,4.99,1.3,3.28,1.55,2.4,1.9,1.9,2.38,1.56
England Championship,2024-11-27,16:45:00,17,Portsmouth,Millwall,3.6,2.05,3.2,2.9,3.3,2.4,1.5,2.5,1.07,10.0,1.38,3.1,2.1,1.67,1.83,1.83,1.6,1.28,1.4,0.86,1.0,1.32,1.21,2.53,1.7,7.0,2.33,1.07,6.27,1.21,3.96,1.41,2.78,1.71,2.14,2.09,1.74
England Championship,2024-11-27,17:00:00,17,Derby County,Swansea City,3.2,2.0,3.75,2.4,3.3,2.9,1.5,2.5,1.07,9.0,1.42,2.9,2.15,1.61,1.91,1.8,1.42,1.28,1.58,2.0,0.88,1.33,1.04,2.37,1.92,6.75,2.05,1.1,5.45,1.26,3.52,1.5,2.54,1.8,2.0,2.26,1.63
Uruguay Primera División,2024-11-27,19:00:00,0,Boston River,Racing,0.0,0.0,0.0,2.25,3.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.5,0.0,0.0,0.0,0.0,0.0,2.0,1.61,1.41,1.32,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie A,2024-11-27,21:00:00,35,Cruzeiro,Grêmio,2.88,2.05,4.33,1.98,3.4,3.8,1.5,2.5,1.07,9.0,1.38,3.0,2.05,1.66,1.95,1.8,1.3,1.28,1.72,2.0,0.82,1.57,1.22,2.79,1.63,6.75,2.55,1.27,3.3,1.47,2.48,1.91,1.94,2.18,1.58,2.8,1.37
Uruguay Primera División,2024-11-27,21:30:00,14,Progreso,Peñarol,0.0,0.0,0.0,6.4,4.5,1.35,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.85,0.0,0.0,0.0,0.0,0.0,1.56,2.44,1.43,1.5,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
