League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Japan J1 League,2024-11-22,07:00:00,28,Urawa Reds,Kawasaki Frontale,2.7,2.38,3.25,2.45,3.5,2.65,1.29,3.3,1.01,11.0,1.18,4.33,1.61,2.23,1.53,2.4,1.42,1.22,1.57,1.59,1.06,1.6,1.59,3.19,1.8,8.0,2.3,1.2,4.4,1.31,3.04,1.7,2.05,1.96,1.79,2.52,1.46
Bulgaria First League,2024-11-22,12:00:00,16,Spartak Varna,Hebar 1918,2.2,2.1,7.0,1.53,3.7,5.75,1.5,2.5,1.05,8.0,1.4,2.8,2.15,1.62,2.38,1.53,1.11,1.21,2.03,1.86,0.29,1.51,0.97,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-22,12:30:00,17,Sepsi,SCM Gloria Buzău,2.25,2.2,6.0,1.57,3.7,5.5,1.44,2.63,0.0,0.0,0.0,0.0,1.93,1.77,2.0,1.73,0.0,0.0,0.0,1.38,0.63,1.47,1.11,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2024-11-22,13:00:00,16,IMT Novi Beograd,Bačka Topola,4.0,2.2,2.5,4.0,3.2,1.83,1.36,3.0,0.0,0.0,0.0,0.0,1.85,1.95,1.73,2.0,0.0,0.0,0.0,1.14,1.67,1.19,1.48,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2024-11-22,13:30:00,16,Bravo,Radomlje,2.63,2.1,4.0,1.99,3.4,3.51,1.4,2.75,1.03,9.0,1.29,3.3,1.93,1.75,1.83,1.83,1.25,1.27,1.72,2.29,0.86,1.46,1.3,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-22,14:00:00,14,Floridsdorfer AC,Voitsberg,2.88,2.05,3.6,2.15,3.3,3.0,1.42,2.74,1.0,8.1,1.27,3.04,1.95,1.75,1.83,1.83,1.33,1.3,1.64,1.33,0.83,1.34,1.32,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-22,14:00:00,14,Rapid Wien II,St. Pölten,3.1,2.3,2.88,2.6,3.6,2.3,1.29,3.4,1.01,11.0,1.14,4.2,1.6,2.2,1.53,2.38,1.6,1.26,1.4,2.17,1.71,1.93,1.55,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-22,14:00:00,14,Lafnitz,Sturm Graz II,3.25,2.5,2.5,2.87,3.9,2.0,1.21,4.15,1.01,17.0,1.06,5.7,1.36,2.9,1.4,2.75,1.72,1.23,1.36,0.67,1.29,1.43,1.65,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2024-11-22,14:00:00,14,Istra 1961,Slaven Koprivnica,2.88,2.1,4.0,2.05,3.4,3.3,1.44,2.63,1.05,8.0,1.33,3.1,2.08,1.73,1.83,1.83,1.3,1.25,1.7,1.33,0.5,1.18,1.5,2.68,1.91,7.5,2.2,1.43,2.6,1.75,1.96,2.24,1.57,2.98,1.34,0.0,0.0
Poland Ekstraklasa,2024-11-22,14:00:00,16,Zagłębie Lubin,Motor Lublin,2.75,2.2,3.75,2.05,3.6,3.25,1.35,2.95,1.05,9.5,1.22,4.0,1.68,2.05,1.67,2.1,1.3,1.22,1.72,1.86,1.43,1.72,1.37,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-11-22,14:00:00,14,Amstetten,First Vienna,2.75,2.3,3.1,2.2,3.7,2.65,1.3,3.4,0.0,0.0,0.0,0.0,1.58,2.2,1.53,2.38,0.0,0.0,0.0,2.14,2.17,1.76,1.62,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece Super League,2024-11-22,14:30:00,12,Kallithea,Panserraikos,3.0,2.05,4.0,2.1,3.4,3.25,1.44,2.63,1.08,8.2,1.39,3.05,2.05,1.68,1.91,1.91,1.29,1.31,1.58,0.6,1.0,1.38,1.29,2.67,1.75,7.5,2.45,1.5,2.52,1.85,1.95,2.37,1.55,3.14,1.25,0.0,0.0
Germany 2. Bundesliga,2024-11-22,14:30:00,13,Paderborn,Nürnberg,2.5,2.38,3.75,1.98,3.18,3.45,1.3,3.4,1.03,11.0,1.18,4.5,1.57,2.2,1.57,2.25,1.3,1.2,1.83,2.2,1.33,1.5,1.41,2.91,1.64,8.5,2.64,1.14,5.15,1.27,3.52,1.47,2.57,1.77,1.98,2.21,1.62
Germany 2. Bundesliga,2024-11-22,14:30:00,13,Preußen Münster,Köln,4.33,2.4,2.25,4.1,4.2,1.73,1.29,3.5,1.01,13.0,1.18,4.75,1.58,2.38,1.53,2.38,2.05,1.18,1.18,1.0,1.6,1.23,1.77,3.0,3.06,9.0,1.51,1.16,4.85,1.3,3.32,1.52,2.44,1.82,1.98,2.32,1.57
Denmark Superliga,2024-11-22,15:00:00,16,Nordsjælland,AGF,2.63,2.2,4.0,1.58,5.82,3.28,1.4,2.75,1.03,11.5,1.29,3.55,1.82,1.87,1.75,2.0,1.3,1.25,1.83,2.0,1.33,1.68,1.16,2.84,1.68,6.5,2.3,1.2,3.9,1.37,2.8,2.1,2.17,1.96,1.74,2.43,1.48
Serbia SuperLiga,2024-11-22,15:00:00,16,Radnički Niš,Čukarički,3.25,2.1,3.0,2.96,3.33,2.32,1.4,2.75,1.03,9.0,1.28,3.5,1.85,1.85,1.73,2.0,1.57,1.25,1.4,2.43,1.0,1.78,1.49,3.27,2.0,7.5,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France Ligue 1,2024-11-22,15:00:00,12,Monaco,Brest,2.05,2.4,5.5,1.57,4.33,5.25,1.3,3.4,1.03,15.0,1.2,4.5,1.62,2.15,1.75,2.0,1.12,1.18,2.6,1.83,0.6,1.51,1.27,2.78,1.4,6.75,3.3,1.46,2.5,1.75,1.95,2.2,1.58,2.88,1.35,3.8,1.2
Switzerland Challenge League,2024-11-22,15:30:00,15,Stade Nyonnais,Vaduz,3.25,2.38,2.63,2.93,3.58,2.22,1.27,3.54,1.01,13.0,1.12,4.45,1.53,2.35,1.5,2.5,1.61,1.23,1.36,0.86,0.57,1.62,1.21,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2024-11-22,15:30:00,17,SSC Farul,Oţelul Galaţi,3.2,2.0,3.75,2.2,3.1,3.1,1.5,2.5,0.0,0.0,0.0,0.0,2.2,1.58,2.0,1.73,0.0,0.0,0.0,1.63,1.25,1.58,1.29,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2024-11-22,15:30:00,15,FC Schaffhausen,Stade Lausanne-Ouchy,3.0,2.2,3.0,2.86,3.37,2.36,1.34,3.1,1.0,8.2,1.2,3.55,1.7,2.0,1.62,2.2,1.46,1.26,1.45,0.71,0.86,1.62,1.6,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
